year,Alphonse (F),Alphonse (M)
1880,0.000000,0.000099
1881,0.000000,0.000062
1882,0.000000,0.000072
1883,0.000000,0.000065
1884,0.000000,0.000082
1885,0.000000,0.000104
1886,0.000000,0.000063
1887,0.000000,0.000073
1888,0.000000,0.000067
1889,0.000000,0.000059
1890,0.000000,0.000060
1891,0.000000,0.000059
1892,0.000000,0.000066
1893,0.000000,0.000061
1894,0.000000,0.000056
1895,0.000000,0.000071
1896,0.000000,0.000073
1897,0.000000,0.000063
1898,0.000000,0.000081
1899,0.000000,0.000053
1900,0.000000,0.000060
1901,0.000000,0.000084
1902,0.000000,0.000085
1903,0.000000,0.000058
1904,0.000000,0.000089
1905,0.000000,0.000059
1906,0.000000,0.000093
1907,0.000000,0.000067
1908,0.000000,0.000098
1909,0.000000,0.000110
1910,0.000000,0.000095
1911,0.000000,0.000126
1912,0.000000,0.000144
1913,0.000000,0.000173
1914,0.000000,0.000177
1915,0.000000,0.000162
1916,0.000000,0.000158
1917,0.000000,0.000157
1918,0.000000,0.000164
1919,0.000000,0.000154
1920,0.000000,0.000145
1921,0.000000,0.000118
1922,0.000000,0.000126
1923,0.000000,0.000123
1924,0.000000,0.000105
1925,0.000000,0.000116
1926,0.000000,0.000096
1927,0.000000,0.000085
1928,0.000000,0.000101
1929,0.000000,0.000087
1930,0.000000,0.000072
1931,0.000000,0.000096
1932,0.000000,0.000070
1933,0.000000,0.000055
1934,0.000000,0.000066
1935,0.000000,0.000055
1936,0.000000,0.000057
1937,0.000000,0.000040
1938,0.000000,0.000048
1939,0.000000,0.000046
1940,0.000000,0.000044
1941,0.000000,0.000053
1942,0.000000,0.000040
1943,0.000000,0.000032
1944,0.000000,0.000033
1945,0.000000,0.000029
1946,0.000000,0.000027
1947,0.000000,0.000026
1948,0.000000,0.000024
1949,0.000000,0.000028
1950,0.000000,0.000024
1951,0.000000,0.000023
1952,0.000000,0.000023
1953,0.000000,0.000020
1954,0.000000,0.000017
1955,0.000000,0.000019
1956,0.000000,0.000020
1957,0.000000,0.000016
1958,0.000000,0.000016
1959,0.000000,0.000016
1960,0.000000,0.000013
1961,0.000000,0.000015
1962,0.000000,0.000013
1963,0.000000,0.000015
1964,0.000000,0.000017
1965,0.000000,0.000012
1966,0.000000,0.000014
1967,0.000000,0.000012
1968,0.000000,0.000010
1969,0.000000,0.000010
1970,0.000000,0.000007
1971,0.000000,0.000012
1972,0.000000,0.000010
1973,0.000000,0.000009
1974,0.000000,0.000010
1975,0.000000,0.000013
1976,0.000000,0.000012
1977,0.000000,0.000010
1978,0.000000,0.000007
1979,0.000000,0.000005
1980,0.000000,0.000009
1981,0.000000,0.000008
1982,0.000000,0.000010
1983,0.000000,0.000005
1984,0.000000,0.000005
1985,0.000000,0.000007
1986,0.000000,0.000009
1987,0.000000,0.000003
1988,0.000000,0.000004
1989,0.000000,0.000006
1990,0.000000,0.000008
1991,0.000000,0.000007
1992,0.000000,0.000007
1993,0.000000,0.000006
1994,0.000000,0.000007
1995,0.000000,0.000006
1996,0.000000,0.000005
1997,0.000000,0.000005
1998,0.000000,0.000005
1999,0.000000,0.000004
2000,0.000000,0.000006
2001,0.000000,0.000003
2002,0.000000,0.000005
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000004
2006,0.000000,0.000003
2007,0.000000,0.000004
2008,0.000000,0.000004
2009,0.000000,0.000004
2010,0.000000,0.000004
2011,0.000000,0.000005
2012,0.000000,0.000004
