year,Alonso (F),Alonso (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000004
1917,0.000000,0.000002
1918,0.000000,0.000003
1919,0.000000,0.000003
1920,0.000000,0.000004
1921,0.000000,0.000002
1922,0.000000,0.000003
1923,0.000000,0.000002
1924,0.000000,0.000003
1925,0.000000,0.000000
1926,0.000000,0.000004
1927,0.000000,0.000002
1928,0.000000,0.000004
1929,0.000000,0.000005
1930,0.000000,0.000004
1931,0.000000,0.000003
1932,0.000000,0.000004
1933,0.000000,0.000005
1934,0.000000,0.000003
1935,0.000000,0.000003
1936,0.000000,0.000002
1937,0.000000,0.000005
1938,0.000000,0.000000
1939,0.000000,0.000004
1940,0.000000,0.000000
1941,0.000000,0.000002
1942,0.000000,0.000002
1943,0.000000,0.000002
1944,0.000000,0.000003
1945,0.000000,0.000002
1946,0.000000,0.000002
1947,0.000000,0.000005
1948,0.000000,0.000003
1949,0.000000,0.000003
1950,0.000000,0.000004
1951,0.000000,0.000003
1952,0.000000,0.000006
1953,0.000000,0.000002
1954,0.000000,0.000004
1955,0.000000,0.000002
1956,0.000000,0.000005
1957,0.000000,0.000004
1958,0.000000,0.000003
1959,0.000000,0.000003
1960,0.000000,0.000005
1961,0.000000,0.000005
1962,0.000000,0.000007
1963,0.000000,0.000006
1964,0.000000,0.000005
1965,0.000000,0.000007
1966,0.000000,0.000006
1967,0.000000,0.000009
1968,0.000000,0.000006
1969,0.000000,0.000007
1970,0.000000,0.000011
1971,0.000000,0.000009
1972,0.000000,0.000012
1973,0.000000,0.000015
1974,0.000000,0.000016
1975,0.000000,0.000017
1976,0.000000,0.000014
1977,0.000000,0.000014
1978,0.000000,0.000019
1979,0.000000,0.000017
1980,0.000000,0.000016
1981,0.000000,0.000018
1982,0.000000,0.000020
1983,0.000000,0.000017
1984,0.000000,0.000025
1985,0.000000,0.000017
1986,0.000000,0.000027
1987,0.000000,0.000026
1988,0.000000,0.000033
1989,0.000000,0.000033
1990,0.000000,0.000040
1991,0.000000,0.000039
1992,0.000000,0.000042
1993,0.000000,0.000053
1994,0.000000,0.000041
1995,0.000000,0.000061
1996,0.000000,0.000053
1997,0.000000,0.000054
1998,0.000000,0.000060
1999,0.000000,0.000063
2000,0.000000,0.000075
2001,0.000000,0.000065
2002,0.000000,0.000085
2003,0.000000,0.000078
2004,0.000000,0.000078
2005,0.000000,0.000086
2006,0.000000,0.000091
2007,0.000000,0.000091
2008,0.000000,0.000093
2009,0.000000,0.000097
2010,0.000000,0.000103
2011,0.000000,0.000095
2012,0.000000,0.000086
2013,0.000000,0.000096
