year,Aura
1880,0
1881,10
1882,13
1883,8
1884,13
1885,0
1886,7
1887,0
1888,16
1889,11
1890,9
1891,8
1892,6
1893,11
1894,13
1895,9
1896,8
1897,13
1898,7
1899,9
1900,10
1901,13
1902,6
1903,9
1904,11
1905,10
1906,9
1907,10
1908,6
1909,9
1910,11
1911,6
1912,7
1913,14
1914,15
1915,26
1916,15
1917,16
1918,22
1919,15
1920,20
1921,18
1922,13
1923,19
1924,14
1925,9
1926,13
1927,11
1928,16
1929,9
1930,11
1931,10
1932,11
1933,10
1934,13
1935,9
1936,8
1937,6
1938,12
1939,8
1940,5
1941,12
1942,7
1943,10
1944,6
1945,6
1946,10
1947,10
1948,8
1949,5
1950,12
1951,9
1952,11
1953,8
1954,10
1955,12
1956,13
1957,9
1958,11
1959,11
1960,13
1961,18
1962,7
1963,19
1964,17
1965,9
1966,14
1967,20
1968,17
1969,14
1970,23
1971,30
1972,37
1973,40
1974,34
1975,38
1976,33
1977,44
1978,25
1979,39
1980,42
1981,45
1982,36
1983,41
1984,39
1985,30
1986,35
1987,30
1988,42
1989,31
1990,39
1991,30
1992,52
1993,30
1994,30
1995,45
1996,37
1997,27
1998,26
1999,29
2000,49
2001,37
2002,51
2003,29
2004,34
2005,52
2006,69
2007,49
2008,40
2009,67
2010,54
2011,54
2012,63
