year,Ayesha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,8
1963,5
1964,6
1965,17
1966,19
1967,27
1968,15
1969,29
1970,56
1971,62
1972,35
1973,72
1974,65
1975,72
1976,77
1977,125
1978,135
1979,147
1980,146
1981,138
1982,148
1983,134
1984,120
1985,121
1986,96
1987,102
1988,102
1989,107
1990,109
1991,141
1992,118
1993,109
1994,112
1995,109
1996,90
1997,111
1998,105
1999,87
2000,113
2001,99
2002,118
2003,103
2004,92
2005,107
2006,102
2007,118
2008,116
2009,107
2010,100
2011,123
2012,106
