year,Alverna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,0
1893,0
1894,0
1895,0
1896,0
1897,10
1898,0
1899,6
1900,0
1901,0
1902,8
1903,5
1904,5
1905,7
1906,8
1907,5
1908,0
1909,12
1910,12
1911,16
1912,12
1913,17
1914,24
1915,19
1916,16
1917,25
1918,36
1919,36
1920,40
1921,31
1922,32
1923,31
1924,34
1925,32
1926,43
1927,32
1928,29
1929,21
1930,27
1931,23
1932,25
1933,23
1934,13
1935,17
1936,14
1937,16
1938,17
1939,18
1940,16
1941,14
1942,0
1943,12
1944,12
1945,7
1946,14
1947,13
1948,10
1949,11
1950,10
1951,11
1952,7
1953,12
1954,0
1955,0
1956,5
1957,5
1958,0
1959,0
1960,5
1961,0
1962,5
1963,5
1964,5
1965,0
1966,0
1967,0
1968,0
1969,0
1970,8
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
