year,Albino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,5
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,9
1912,7
1913,10
1914,21
1915,20
1916,21
1917,21
1918,25
1919,20
1920,25
1921,24
1922,23
1923,31
1924,31
1925,19
1926,24
1927,37
1928,30
1929,27
1930,26
1931,21
1932,20
1933,17
1934,19
1935,19
1936,20
1937,19
1938,13
1939,12
1940,16
1941,19
1942,13
1943,17
1944,15
1945,18
1946,16
1947,23
1948,17
1949,18
1950,21
1951,20
1952,22
1953,14
1954,11
1955,11
1956,19
1957,10
1958,21
1959,21
1960,19
1961,13
1962,16
1963,21
1964,13
1965,15
1966,12
1967,14
1968,9
1969,18
1970,19
1971,15
1972,15
1973,10
1974,9
1975,15
1976,16
1977,8
1978,13
1979,14
1980,15
1981,19
1982,12
1983,6
1984,7
1985,14
1986,10
1987,17
1988,15
1989,10
1990,16
1991,19
1992,11
1993,8
1994,14
1995,9
1996,7
1997,19
1998,17
1999,12
2000,14
2001,17
2002,7
2003,10
2004,14
2005,14
2006,9
2007,11
2008,7
2009,6
2010,9
2011,9
2012,0
