year,Arlette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,6
1915,8
1916,10
1917,11
1918,9
1919,10
1920,20
1921,26
1922,18
1923,24
1924,15
1925,19
1926,22
1927,51
1928,26
1929,16
1930,33
1931,21
1932,14
1933,14
1934,18
1935,29
1936,28
1937,13
1938,40
1939,30
1940,29
1941,24
1942,22
1943,22
1944,16
1945,20
1946,44
1947,39
1948,46
1949,47
1950,30
1951,34
1952,34
1953,39
1954,55
1955,51
1956,47
1957,22
1958,44
1959,27
1960,38
1961,66
1962,53
1963,42
1964,38
1965,34
1966,38
1967,22
1968,36
1969,30
1970,34
1971,31
1972,25
1973,15
1974,13
1975,23
1976,13
1977,11
1978,19
1979,15
1980,25
1981,20
1982,14
1983,21
1984,19
1985,18
1986,26
1987,17
1988,23
1989,35
1990,20
1991,32
1992,36
1993,40
1994,43
1995,38
1996,32
1997,54
1998,62
1999,58
2000,78
2001,122
2002,171
2003,179
2004,189
2005,150
2006,150
2007,140
2008,127
2009,108
2010,148
2011,142
2012,148
