year,Ace (F),Ace (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000036
1883,0.000000,0.000028
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000039
1887,0.000000,0.000032
1888,0.000000,0.000037
1889,0.000000,0.000028
1890,0.000000,0.000000
1891,0.000000,0.000024
1892,0.000000,0.000024
1893,0.000000,0.000000
1894,0.000000,0.000030
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000018
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000029
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000012
1910,0.000000,0.000014
1911,0.000000,0.000011
1912,0.000000,0.000015
1913,0.000000,0.000007
1914,0.000000,0.000009
1915,0.000000,0.000012
1916,0.000000,0.000011
1917,0.000000,0.000008
1918,0.000000,0.000012
1919,0.000000,0.000009
1920,0.000000,0.000012
1921,0.000000,0.000009
1922,0.000000,0.000010
1923,0.000000,0.000007
1924,0.000000,0.000008
1925,0.000000,0.000008
1926,0.000000,0.000007
1927,0.000000,0.000008
1928,0.000000,0.000008
1929,0.000000,0.000006
1930,0.000000,0.000005
1931,0.000000,0.000010
1932,0.000000,0.000008
1933,0.000000,0.000011
1934,0.000000,0.000010
1935,0.000000,0.000008
1936,0.000000,0.000006
1937,0.000000,0.000011
1938,0.000000,0.000007
1939,0.000000,0.000008
1940,0.000000,0.000009
1941,0.000000,0.000008
1942,0.000000,0.000006
1943,0.000000,0.000006
1944,0.000000,0.000007
1945,0.000000,0.000007
1946,0.000000,0.000006
1947,0.000000,0.000008
1948,0.000000,0.000006
1949,0.000000,0.000006
1950,0.000000,0.000004
1951,0.000000,0.000007
1952,0.000000,0.000004
1953,0.000000,0.000006
1954,0.000000,0.000005
1955,0.000000,0.000004
1956,0.000000,0.000004
1957,0.000000,0.000005
1958,0.000000,0.000002
1959,0.000000,0.000004
1960,0.000000,0.000005
1961,0.000000,0.000003
1962,0.000000,0.000002
1963,0.000000,0.000006
1964,0.000000,0.000004
1965,0.000000,0.000004
1966,0.000000,0.000005
1967,0.000000,0.000004
1968,0.000000,0.000006
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000008
1972,0.000000,0.000007
1973,0.000000,0.000005
1974,0.000000,0.000006
1975,0.000000,0.000007
1976,0.000000,0.000008
1977,0.000000,0.000005
1978,0.000000,0.000013
1979,0.000000,0.000006
1980,0.000000,0.000008
1981,0.000000,0.000008
1982,0.000000,0.000007
1983,0.000000,0.000010
1984,0.000000,0.000008
1985,0.000000,0.000009
1986,0.000000,0.000010
1987,0.000000,0.000012
1988,0.000000,0.000013
1989,0.000000,0.000008
1990,0.000000,0.000007
1991,0.000000,0.000009
1992,0.000000,0.000011
1993,0.000000,0.000011
1994,0.000000,0.000009
1995,0.000000,0.000009
1996,0.000000,0.000013
1997,0.000000,0.000011
1998,0.000000,0.000008
1999,0.000000,0.000011
2000,0.000000,0.000014
2001,0.000000,0.000014
2002,0.000000,0.000013
2003,0.000000,0.000016
2004,0.000000,0.000031
2005,0.000000,0.000036
2006,0.000000,0.000061
2007,0.000000,0.000070
2008,0.000000,0.000082
2009,0.000000,0.000110
2010,0.000000,0.000109
2011,0.000001,0.000120
2012,0.000000,0.000137
2013,0.000000,0.000150
2014,0.000001,0.000222
2015,0.000002,0.000200
2016,0.000002,0.000284
2017,0.000003,0.000345
2018,0.000000,0.000411
2019,0.000005,0.000482
2020,0.000004,0.000575
