year,Adelard
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,0
1887,0
1888,5
1889,7
1890,0
1891,5
1892,0
1893,5
1894,0
1895,16
1896,0
1897,0
1898,0
1899,5
1900,6
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,6
1912,8
1913,11
1914,22
1915,22
1916,26
1917,24
1918,18
1919,33
1920,20
1921,14
1922,15
1923,18
1924,19
1925,20
1926,11
1927,19
1928,6
1929,14
1930,15
1931,5
1932,10
1933,6
1934,9
1935,0
1936,9
1937,5
1938,9
1939,5
1940,7
1941,0
1942,6
1943,0
1944,5
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
