year,Arch
1880,61
1881,43
1882,55
1883,38
1884,43
1885,30
1886,32
1887,47
1888,35
1889,31
1890,23
1891,26
1892,32
1893,30
1894,30
1895,15
1896,19
1897,26
1898,24
1899,11
1900,18
1901,17
1902,18
1903,13
1904,11
1905,11
1906,13
1907,19
1908,7
1909,11
1910,13
1911,17
1912,27
1913,25
1914,32
1915,39
1916,51
1917,42
1918,52
1919,46
1920,48
1921,46
1922,47
1923,50
1924,42
1925,40
1926,40
1927,39
1928,47
1929,32
1930,35
1931,30
1932,26
1933,21
1934,28
1935,21
1936,23
1937,22
1938,21
1939,17
1940,17
1941,15
1942,22
1943,22
1944,17
1945,12
1946,30
1947,23
1948,22
1949,26
1950,21
1951,18
1952,20
1953,25
1954,10
1955,25
1956,14
1957,12
1958,18
1959,13
1960,16
1961,19
1962,12
1963,10
1964,15
1965,13
1966,6
1967,8
1968,13
1969,7
1970,11
1971,10
1972,10
1973,13
1974,9
1975,0
1976,5
1977,9
1978,5
1979,7
1980,0
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,7
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
