year,Alicea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,6
1955,8
1956,0
1957,0
1958,0
1959,9
1960,0
1961,0
1962,0
1963,6
1964,6
1965,13
1966,9
1967,6
1968,7
1969,8
1970,24
1971,19
1972,17
1973,18
1974,8
1975,10
1976,13
1977,15
1978,18
1979,14
1980,29
1981,22
1982,23
1983,26
1984,32
1985,22
1986,24
1987,21
1988,28
1989,22
1990,21
1991,23
1992,19
1993,24
1994,9
1995,24
1996,36
1997,27
1998,37
1999,31
2000,31
2001,23
2002,30
2003,29
2004,33
2005,35
2006,27
2007,31
2008,36
2009,23
2010,19
2011,25
2012,16
