year,Arica
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,7
1966,6
1967,0
1968,6
1969,9
1970,37
1971,36
1972,40
1973,31
1974,34
1975,45
1976,57
1977,67
1978,87
1979,79
1980,74
1981,65
1982,95
1983,77
1984,75
1985,80
1986,88
1987,88
1988,80
1989,77
1990,95
1991,90
1992,78
1993,53
1994,54
1995,64
1996,52
1997,59
1998,40
1999,47
2000,50
2001,43
2002,28
2003,35
2004,29
2005,28
2006,21
2007,22
2008,24
2009,13
2010,6
2011,12
2012,15
