year,Alfonso (F),Alfonso (M)
1880,0.000000,0.000000
1881,0.000000,0.000031
1882,0.000000,0.000027
1883,0.000000,0.000041
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000031
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000024
1890,0.000000,0.000017
1891,0.000000,0.000035
1892,0.000000,0.000030
1893,0.000000,0.000025
1894,0.000000,0.000021
1895,0.000000,0.000028
1896,0.000000,0.000039
1897,0.000000,0.000040
1898,0.000000,0.000050
1899,0.000000,0.000032
1900,0.000000,0.000078
1901,0.000000,0.000067
1902,0.000000,0.000059
1903,0.000000,0.000058
1904,0.000000,0.000077
1905,0.000000,0.000085
1906,0.000000,0.000070
1907,0.000000,0.000090
1908,0.000000,0.000080
1909,0.000000,0.000111
1910,0.000000,0.000102
1911,0.000000,0.000107
1912,0.000000,0.000133
1913,0.000000,0.000137
1914,0.000000,0.000108
1915,0.000000,0.000100
1916,0.000000,0.000110
1917,0.000000,0.000114
1918,0.000000,0.000109
1919,0.000000,0.000104
1920,0.000000,0.000126
1921,0.000000,0.000138
1922,0.000003,0.000133
1923,0.000000,0.000149
1924,0.000000,0.000149
1925,0.000000,0.000141
1926,0.000000,0.000142
1927,0.000000,0.000146
1928,0.000000,0.000149
1929,0.000000,0.000163
1930,0.000002,0.000169
1931,0.000003,0.000164
1932,0.000000,0.000153
1933,0.000000,0.000139
1934,0.000000,0.000131
1935,0.000000,0.000127
1936,0.000000,0.000138
1937,0.000000,0.000126
1938,0.000000,0.000132
1939,0.000000,0.000128
1940,0.000000,0.000118
1941,0.000000,0.000107
1942,0.000000,0.000097
1943,0.000000,0.000095
1944,0.000000,0.000102
1945,0.000000,0.000098
1946,0.000000,0.000093
1947,0.000000,0.000099
1948,0.000002,0.000110
1949,0.000001,0.000101
1950,0.000000,0.000101
1951,0.000002,0.000096
1952,0.000001,0.000093
1953,0.000000,0.000103
1954,0.000000,0.000103
1955,0.000000,0.000096
1956,0.000000,0.000090
1957,0.000000,0.000099
1958,0.000000,0.000093
1959,0.000000,0.000094
1960,0.000000,0.000092
1961,0.000000,0.000096
1962,0.000001,0.000087
1963,0.000000,0.000100
1964,0.000000,0.000100
1965,0.000000,0.000106
1966,0.000000,0.000106
1967,0.000001,0.000112
1968,0.000001,0.000105
1969,0.000000,0.000104
1970,0.000002,0.000113
1971,0.000000,0.000122
1972,0.000003,0.000122
1973,0.000002,0.000141
1974,0.000000,0.000130
1975,0.000000,0.000143
1976,0.000000,0.000126
1977,0.000000,0.000130
1978,0.000002,0.000131
1979,0.000000,0.000133
1980,0.000001,0.000130
1981,0.000000,0.000133
1982,0.000001,0.000122
1983,0.000000,0.000121
1984,0.000000,0.000114
1985,0.000000,0.000128
1986,0.000001,0.000138
1987,0.000002,0.000121
1988,0.000000,0.000135
1989,0.000000,0.000129
1990,0.000000,0.000136
1991,0.000002,0.000147
1992,0.000000,0.000138
1993,0.000000,0.000144
1994,0.000000,0.000142
1995,0.000000,0.000135
1996,0.000000,0.000139
1997,0.000000,0.000139
1998,0.000000,0.000132
1999,0.000000,0.000133
2000,0.000000,0.000126
2001,0.000000,0.000114
2002,0.000000,0.000125
2003,0.000000,0.000120
2004,0.000000,0.000120
2005,0.000000,0.000118
2006,0.000000,0.000116
2007,0.000000,0.000125
2008,0.000000,0.000110
2009,0.000000,0.000100
2010,0.000000,0.000083
2011,0.000000,0.000077
2012,0.000000,0.000077
2013,0.000000,0.000079
