year,Anisha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,12
1970,14
1971,20
1972,27
1973,17
1974,19
1975,33
1976,29
1977,57
1978,57
1979,54
1980,72
1981,72
1982,70
1983,83
1984,141
1985,75
1986,85
1987,81
1988,79
1989,87
1990,103
1991,102
1992,123
1993,134
1994,131
1995,125
1996,107
1997,116
1998,104
1999,98
2000,132
2001,120
2002,144
2003,142
2004,130
2005,129
2006,109
2007,93
2008,117
2009,104
2010,121
2011,85
2012,97
