year,Armanda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,7
1908,7
1909,7
1910,5
1911,0
1912,6
1913,18
1914,9
1915,12
1916,14
1917,23
1918,18
1919,15
1920,8
1921,7
1922,12
1923,18
1924,9
1925,10
1926,19
1927,16
1928,17
1929,17
1930,12
1931,6
1932,15
1933,6
1934,0
1935,9
1936,10
1937,7
1938,12
1939,7
1940,0
1941,10
1942,9
1943,12
1944,12
1945,10
1946,8
1947,12
1948,10
1949,6
1950,9
1951,7
1952,8
1953,12
1954,7
1955,0
1956,19
1957,14
1958,16
1959,9
1960,9
1961,12
1962,11
1963,18
1964,8
1965,12
1966,14
1967,13
1968,13
1969,18
1970,15
1971,12
1972,16
1973,19
1974,16
1975,25
1976,24
1977,22
1978,19
1979,28
1980,25
1981,32
1982,28
1983,27
1984,21
1985,18
1986,25
1987,27
1988,25
1989,19
1990,26
1991,26
1992,15
1993,11
1994,15
1995,10
1996,9
1997,10
1998,6
1999,8
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
