year,Asa (F),Asa (M)
1880,0.000000,0.000298
1881,0.000000,0.000337
1882,0.000000,0.000280
1883,0.000000,0.000281
1884,0.000000,0.000177
1885,0.000000,0.000179
1886,0.000000,0.000204
1887,0.000000,0.000206
1888,0.000000,0.000194
1889,0.000000,0.000128
1890,0.000000,0.000159
1891,0.000000,0.000160
1892,0.000000,0.000173
1893,0.000000,0.000132
1894,0.000000,0.000109
1895,0.000000,0.000114
1896,0.000000,0.000090
1897,0.000000,0.000135
1898,0.000000,0.000081
1899,0.000000,0.000088
1900,0.000000,0.000067
1901,0.000000,0.000072
1902,0.000000,0.000054
1903,0.000000,0.000068
1904,0.000000,0.000059
1905,0.000000,0.000052
1906,0.000000,0.000040
1907,0.000000,0.000084
1908,0.000000,0.000049
1909,0.000000,0.000031
1910,0.000000,0.000051
1911,0.000000,0.000039
1912,0.000000,0.000048
1913,0.000000,0.000051
1914,0.000000,0.000052
1915,0.000000,0.000059
1916,0.000003,0.000051
1917,0.000000,0.000043
1918,0.000003,0.000054
1919,0.000000,0.000042
1920,0.000000,0.000046
1921,0.000000,0.000044
1922,0.000000,0.000044
1923,0.000004,0.000051
1924,0.000000,0.000045
1925,0.000000,0.000037
1926,0.000003,0.000045
1927,0.000002,0.000046
1928,0.000003,0.000041
1929,0.000000,0.000033
1930,0.000002,0.000035
1931,0.000000,0.000032
1932,0.000000,0.000025
1933,0.000000,0.000036
1934,0.000000,0.000038
1935,0.000000,0.000031
1936,0.000000,0.000028
1937,0.000000,0.000031
1938,0.000000,0.000027
1939,0.000000,0.000023
1940,0.000000,0.000023
1941,0.000000,0.000025
1942,0.000000,0.000021
1943,0.000000,0.000020
1944,0.000000,0.000019
1945,0.000000,0.000014
1946,0.000002,0.000013
1947,0.000001,0.000017
1948,0.000000,0.000017
1949,0.000000,0.000015
1950,0.000000,0.000014
1951,0.000000,0.000013
1952,0.000000,0.000013
1953,0.000000,0.000012
1954,0.000000,0.000011
1955,0.000000,0.000010
1956,0.000000,0.000011
1957,0.000000,0.000010
1958,0.000000,0.000011
1959,0.000002,0.000007
1960,0.000000,0.000011
1961,0.000001,0.000010
1962,0.000001,0.000013
1963,0.000003,0.000011
1964,0.000000,0.000009
1965,0.000002,0.000011
1966,0.000002,0.000011
1967,0.000002,0.000010
1968,0.000001,0.000012
1969,0.000004,0.000012
1970,0.000000,0.000016
1971,0.000000,0.000014
1972,0.000003,0.000015
1973,0.000003,0.000017
1974,0.000004,0.000023
1975,0.000003,0.000020
1976,0.000003,0.000026
1977,0.000003,0.000025
1978,0.000005,0.000025
1979,0.000004,0.000030
1980,0.000004,0.000039
1981,0.000005,0.000045
1982,0.000002,0.000040
1983,0.000004,0.000041
1984,0.000003,0.000034
1985,0.000004,0.000040
1986,0.000005,0.000029
1987,0.000004,0.000035
1988,0.000004,0.000040
1989,0.000004,0.000048
1990,0.000004,0.000041
1991,0.000004,0.000044
1992,0.000003,0.000041
1993,0.000005,0.000041
1994,0.000004,0.000047
1995,0.000005,0.000049
1996,0.000007,0.000045
1997,0.000005,0.000054
1998,0.000005,0.000052
1999,0.000006,0.000066
2000,0.000004,0.000073
2001,0.000007,0.000076
2002,0.000007,0.000074
2003,0.000005,0.000079
2004,0.000005,0.000079
2005,0.000011,0.000091
2006,0.000006,0.000096
2007,0.000010,0.000100
2008,0.000009,0.000098
2009,0.000012,0.000125
2010,0.000012,0.000117
2011,0.000009,0.000127
2012,0.000011,0.000126
2013,0.000016,0.000131
2014,0.000013,0.000146
2015,0.000018,0.000146
2016,0.000014,0.000157
2017,0.000020,0.000166
2018,0.000022,0.000161
2019,0.000021,0.000162
2020,0.000023,0.000169
