year,Antawn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,7
1971,9
1972,0
1973,17
1974,8
1975,21
1976,17
1977,19
1978,20
1979,24
1980,15
1981,25
1982,24
1983,23
1984,20
1985,18
1986,17
1987,15
1988,24
1989,17
1990,21
1991,8
1992,12
1993,11
1994,8
1995,6
1996,7
1997,16
1998,29
1999,9
2000,11
2001,14
2002,8
2003,10
2004,11
2005,9
2006,8
2007,5
2008,9
2009,7
2010,6
2011,9
2012,8
