year,Andres (F),Andres (M)
1880,0.000000,0.000069
1881,0.000000,0.000031
1882,0.000000,0.000036
1883,0.000000,0.000041
1884,0.000000,0.000025
1885,0.000000,0.000033
1886,0.000000,0.000039
1887,0.000000,0.000032
1888,0.000000,0.000000
1889,0.000000,0.000028
1890,0.000000,0.000027
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000025
1894,0.000000,0.000027
1895,0.000000,0.000023
1896,0.000000,0.000014
1897,0.000000,0.000023
1898,0.000000,0.000026
1899,0.000000,0.000018
1900,0.000000,0.000011
1901,0.000000,0.000038
1902,0.000000,0.000000
1903,0.000000,0.000026
1904,0.000000,0.000037
1905,0.000000,0.000035
1906,0.000000,0.000033
1907,0.000000,0.000000
1908,0.000000,0.000039
1909,0.000000,0.000037
1910,0.000000,0.000036
1911,0.000000,0.000037
1912,0.000000,0.000033
1913,0.000000,0.000040
1914,0.000000,0.000030
1915,0.000000,0.000031
1916,0.000000,0.000029
1917,0.000000,0.000029
1918,0.000000,0.000035
1919,0.000000,0.000033
1920,0.000000,0.000044
1921,0.000000,0.000039
1922,0.000000,0.000045
1923,0.000000,0.000047
1924,0.000000,0.000044
1925,0.000003,0.000039
1926,0.000000,0.000035
1927,0.000000,0.000045
1928,0.000000,0.000054
1929,0.000000,0.000046
1930,0.000000,0.000055
1931,0.000000,0.000039
1932,0.000000,0.000041
1933,0.000000,0.000052
1934,0.000000,0.000045
1935,0.000000,0.000042
1936,0.000000,0.000042
1937,0.000000,0.000037
1938,0.000000,0.000036
1939,0.000000,0.000034
1940,0.000000,0.000036
1941,0.000000,0.000038
1942,0.000000,0.000038
1943,0.000000,0.000039
1944,0.000000,0.000039
1945,0.000000,0.000040
1946,0.000000,0.000035
1947,0.000000,0.000035
1948,0.000000,0.000041
1949,0.000000,0.000038
1950,0.000000,0.000043
1951,0.000000,0.000036
1952,0.000000,0.000040
1953,0.000000,0.000047
1954,0.000000,0.000035
1955,0.000000,0.000038
1956,0.000000,0.000037
1957,0.000000,0.000043
1958,0.000000,0.000041
1959,0.000000,0.000050
1960,0.000000,0.000051
1961,0.000000,0.000048
1962,0.000000,0.000057
1963,0.000000,0.000057
1964,0.000000,0.000067
1965,0.000000,0.000069
1966,0.000000,0.000080
1967,0.000002,0.000087
1968,0.000000,0.000088
1969,0.000001,0.000096
1970,0.000002,0.000096
1971,0.000000,0.000115
1972,0.000003,0.000118
1973,0.000003,0.000134
1974,0.000004,0.000171
1975,0.000003,0.000164
1976,0.000003,0.000160
1977,0.000004,0.000185
1978,0.000002,0.000183
1979,0.000003,0.000191
1980,0.000002,0.000214
1981,0.000006,0.000236
1982,0.000001,0.000253
1983,0.000005,0.000271
1984,0.000003,0.000263
1985,0.000004,0.000291
1986,0.000005,0.000298
1987,0.000003,0.000306
1988,0.000004,0.000330
1989,0.000005,0.000340
1990,0.000004,0.000379
1991,0.000006,0.000391
1992,0.000005,0.000445
1993,0.000006,0.000558
1994,0.000003,0.000529
1995,0.000003,0.000523
1996,0.000003,0.000594
1997,0.000002,0.000607
1998,0.000004,0.000592
1999,0.000004,0.000642
2000,0.000002,0.000623
2001,0.000003,0.000695
2002,0.000002,0.000653
2003,0.000002,0.000613
2004,0.000002,0.000627
2005,0.000002,0.000670
2006,0.000000,0.000657
2007,0.000001,0.000681
2008,0.000002,0.000638
2009,0.000000,0.000591
2010,0.000000,0.000566
2011,0.000000,0.000592
2012,0.000000,0.000534
