year,Alexsandra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,6
1970,7
1971,6
1972,6
1973,11
1974,10
1975,7
1976,10
1977,14
1978,10
1979,10
1980,9
1981,12
1982,14
1983,16
1984,17
1985,23
1986,19
1987,39
1988,40
1989,44
1990,52
1991,55
1992,77
1993,72
1994,67
1995,67
1996,63
1997,83
1998,65
1999,96
2000,81
2001,74
2002,108
2003,98
2004,117
2005,110
2006,156
2007,108
2008,90
2009,76
2010,57
2011,46
2012,44
