year,Avril
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,6
1921,5
1922,0
1923,12
1924,21
1925,13
1926,7
1927,6
1928,0
1929,5
1930,5
1931,5
1932,0
1933,0
1934,5
1935,6
1936,0
1937,0
1938,0
1939,0
1940,6
1941,0
1942,8
1943,0
1944,0
1945,0
1946,0
1947,7
1948,7
1949,0
1950,0
1951,0
1952,8
1953,5
1954,9
1955,8
1956,7
1957,0
1958,6
1959,7
1960,9
1961,7
1962,6
1963,9
1964,6
1965,11
1966,6
1967,15
1968,9
1969,15
1970,11
1971,5
1972,12
1973,16
1974,22
1975,12
1976,14
1977,26
1978,16
1979,20
1980,10
1981,14
1982,22
1983,13
1984,17
1985,11
1986,8
1987,6
1988,10
1989,10
1990,13
1991,10
1992,15
1993,12
1994,8
1995,13
1996,0
1997,9
1998,17
1999,6
2000,11
2001,11
2002,26
2003,129
2004,125
2005,119
2006,100
2007,154
2008,155
2009,120
2010,133
2011,144
2012,136
