year,Abram (F),Abram (M)
1880,0.000000,0.000104
1881,0.000000,0.000156
1882,0.000000,0.000113
1883,0.000000,0.000092
1884,0.000000,0.000119
1885,0.000000,0.000071
1886,0.000000,0.000071
1887,0.000000,0.000077
1888,0.000000,0.000087
1889,0.000000,0.000080
1890,0.000000,0.000063
1891,0.000000,0.000063
1892,0.000000,0.000075
1893,0.000000,0.000043
1894,0.000000,0.000056
1895,0.000000,0.000051
1896,0.000000,0.000053
1897,0.000000,0.000055
1898,0.000000,0.000045
1899,0.000000,0.000038
1900,0.000000,0.000040
1901,0.000000,0.000023
1902,0.000000,0.000023
1903,0.000000,0.000029
1904,0.000000,0.000042
1905,0.000000,0.000038
1906,0.000000,0.000042
1907,0.000000,0.000037
1908,0.000000,0.000020
1909,0.000000,0.000047
1910,0.000000,0.000044
1911,0.000000,0.000033
1912,0.000000,0.000036
1913,0.000000,0.000046
1914,0.000000,0.000044
1915,0.000000,0.000044
1916,0.000000,0.000030
1917,0.000000,0.000028
1918,0.000000,0.000027
1919,0.000000,0.000028
1920,0.000000,0.000023
1921,0.000000,0.000021
1922,0.000000,0.000022
1923,0.000000,0.000021
1924,0.000000,0.000020
1925,0.000000,0.000021
1926,0.000000,0.000023
1927,0.000000,0.000022
1928,0.000000,0.000022
1929,0.000000,0.000025
1930,0.000000,0.000017
1931,0.000000,0.000024
1932,0.000000,0.000023
1933,0.000000,0.000017
1934,0.000000,0.000018
1935,0.000000,0.000022
1936,0.000000,0.000015
1937,0.000000,0.000015
1938,0.000000,0.000017
1939,0.000000,0.000014
1940,0.000000,0.000010
1941,0.000000,0.000012
1942,0.000000,0.000012
1943,0.000000,0.000011
1944,0.000000,0.000015
1945,0.000000,0.000014
1946,0.000000,0.000010
1947,0.000000,0.000012
1948,0.000000,0.000012
1949,0.000000,0.000013
1950,0.000000,0.000011
1951,0.000000,0.000011
1952,0.000000,0.000009
1953,0.000000,0.000009
1954,0.000000,0.000008
1955,0.000000,0.000009
1956,0.000000,0.000011
1957,0.000000,0.000013
1958,0.000000,0.000009
1959,0.000000,0.000007
1960,0.000000,0.000008
1961,0.000000,0.000007
1962,0.000000,0.000007
1963,0.000000,0.000010
1964,0.000000,0.000007
1965,0.000000,0.000007
1966,0.000000,0.000010
1967,0.000000,0.000011
1968,0.000000,0.000011
1969,0.000000,0.000012
1970,0.000000,0.000012
1971,0.000000,0.000014
1972,0.000000,0.000016
1973,0.000000,0.000023
1974,0.000000,0.000027
1975,0.000000,0.000032
1976,0.000000,0.000043
1977,0.000000,0.000036
1978,0.000000,0.000047
1979,0.000000,0.000044
1980,0.000000,0.000044
1981,0.000000,0.000039
1982,0.000000,0.000051
1983,0.000000,0.000043
1984,0.000000,0.000039
1985,0.000000,0.000042
1986,0.000000,0.000044
1987,0.000000,0.000037
1988,0.000000,0.000035
1989,0.000000,0.000033
1990,0.000000,0.000032
1991,0.000000,0.000034
1992,0.000000,0.000028
1993,0.000000,0.000034
1994,0.000000,0.000043
1995,0.000000,0.000044
1996,0.000000,0.000043
1997,0.000000,0.000045
1998,0.000000,0.000041
1999,0.000000,0.000050
2000,0.000000,0.000054
2001,0.000000,0.000057
2002,0.000000,0.000053
2003,0.000000,0.000069
2004,0.000000,0.000099
2005,0.000000,0.000112
2006,0.000000,0.000105
2007,0.000000,0.000116
2008,0.000000,0.000122
2009,0.000000,0.000145
2010,0.000000,0.000132
2011,0.000000,0.000168
2012,0.000000,0.000207
2013,0.000000,0.000221
2014,0.000000,0.000225
2015,0.000000,0.000227
2016,0.000000,0.000235
2017,0.000000,0.000208
2018,0.000000,0.000199
2019,0.000000,0.000176
2020,0.000000,0.000152
