year,Antoinetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,6
1899,0
1900,0
1901,5
1902,0
1903,7
1904,0
1905,0
1906,0
1907,9
1908,5
1909,0
1910,7
1911,0
1912,10
1913,12
1914,12
1915,18
1916,11
1917,20
1918,18
1919,14
1920,16
1921,18
1922,21
1923,21
1924,12
1925,10
1926,12
1927,8
1928,14
1929,14
1930,7
1931,6
1932,10
1933,5
1934,5
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,5
1953,10
1954,7
1955,6
1956,7
1957,9
1958,10
1959,10
1960,0
1961,8
1962,6
1963,12
1964,10
1965,14
1966,14
1967,15
1968,18
1969,9
1970,9
1971,9
1972,14
1973,12
1974,11
1975,7
1976,8
1977,12
1978,8
1979,10
1980,9
1981,6
1982,7
1983,8
1984,8
1985,0
1986,6
1987,11
1988,17
1989,9
1990,7
1991,0
1992,5
1993,5
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
