year,Apolonio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,6
1911,0
1912,5
1913,8
1914,14
1915,5
1916,7
1917,9
1918,5
1919,11
1920,22
1921,16
1922,21
1923,17
1924,23
1925,33
1926,24
1927,21
1928,33
1929,32
1930,19
1931,22
1932,15
1933,21
1934,15
1935,16
1936,11
1937,14
1938,9
1939,12
1940,15
1941,14
1942,16
1943,17
1944,26
1945,16
1946,9
1947,24
1948,13
1949,15
1950,21
1951,17
1952,22
1953,15
1954,15
1955,14
1956,10
1957,12
1958,10
1959,12
1960,17
1961,12
1962,14
1963,16
1964,10
1965,9
1966,15
1967,10
1968,13
1969,19
1970,22
1971,17
1972,17
1973,15
1974,11
1975,13
1976,20
1977,17
1978,14
1979,15
1980,13
1981,12
1982,11
1983,19
1984,20
1985,16
1986,17
1987,13
1988,12
1989,19
1990,12
1991,11
1992,7
1993,14
1994,11
1995,14
1996,16
1997,11
1998,12
1999,16
2000,14
2001,9
2002,0
2003,13
2004,11
2005,13
2006,8
2007,10
2008,9
2009,0
2010,5
2011,0
2012,0
