year,Angelica (F),Angelica (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000015,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000014,0.000000
1897,0.000020,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000014,0.000000
1907,0.000013,0.000000
1908,0.000010,0.000000
1909,0.000012,0.000000
1910,0.000019,0.000000
1911,0.000014,0.000000
1912,0.000023,0.000000
1913,0.000012,0.000000
1914,0.000013,0.000000
1915,0.000012,0.000000
1916,0.000013,0.000000
1917,0.000009,0.000000
1918,0.000011,0.000000
1919,0.000007,0.000000
1920,0.000011,0.000000
1921,0.000009,0.000000
1922,0.000012,0.000000
1923,0.000013,0.000000
1924,0.000024,0.000000
1925,0.000013,0.000000
1926,0.000012,0.000000
1927,0.000013,0.000000
1928,0.000013,0.000000
1929,0.000013,0.000000
1930,0.000019,0.000000
1931,0.000017,0.000000
1932,0.000014,0.000000
1933,0.000014,0.000000
1934,0.000013,0.000000
1935,0.000015,0.000000
1936,0.000019,0.000000
1937,0.000014,0.000000
1938,0.000018,0.000000
1939,0.000013,0.000000
1940,0.000017,0.000000
1941,0.000012,0.000000
1942,0.000012,0.000000
1943,0.000012,0.000000
1944,0.000013,0.000000
1945,0.000012,0.000000
1946,0.000013,0.000000
1947,0.000014,0.000000
1948,0.000013,0.000000
1949,0.000012,0.000000
1950,0.000019,0.000000
1951,0.000013,0.000000
1952,0.000015,0.000000
1953,0.000020,0.000000
1954,0.000022,0.000000
1955,0.000024,0.000000
1956,0.000021,0.000000
1957,0.000022,0.000000
1958,0.000023,0.000000
1959,0.000030,0.000000
1960,0.000031,0.000000
1961,0.000036,0.000000
1962,0.000037,0.000000
1963,0.000047,0.000000
1964,0.000061,0.000000
1965,0.000069,0.000000
1966,0.000071,0.000000
1967,0.000091,0.000000
1968,0.000093,0.000000
1969,0.000114,0.000000
1970,0.000163,0.000002
1971,0.000186,0.000000
1972,0.000211,0.000000
1973,0.000255,0.000002
1974,0.000349,0.000004
1975,0.000401,0.000003
1976,0.000399,0.000000
1977,0.000357,0.000003
1978,0.000361,0.000002
1979,0.000392,0.000000
1980,0.000422,0.000003
1981,0.000434,0.000003
1982,0.000427,0.000005
1983,0.000423,0.000004
1984,0.000396,0.000003
1985,0.000433,0.000004
1986,0.000604,0.000006
1987,0.000722,0.000005
1988,0.000707,0.000005
1989,0.000748,0.000007
1990,0.000688,0.000005
1991,0.000724,0.000003
1992,0.000865,0.000002
1993,0.000860,0.000003
1994,0.000827,0.000002
1995,0.000916,0.000004
1996,0.000934,0.000002
1997,0.000932,0.000002
1998,0.000866,0.000000
1999,0.000764,0.000002
2000,0.000634,0.000001
2001,0.000651,0.000000
2002,0.000608,0.000001
2003,0.000582,0.000000
2004,0.000508,0.000000
2005,0.000465,0.000002
2006,0.000422,0.000000
2007,0.000379,0.000001
2008,0.000340,0.000000
2009,0.000294,0.000000
2010,0.000252,0.000000
2011,0.000235,0.000000
2012,0.000228,0.000000
