year,Abigale
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,5
1960,0
1961,5
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,5
1971,6
1972,5
1973,0
1974,8
1975,7
1976,6
1977,0
1978,18
1979,17
1980,15
1981,11
1982,28
1983,13
1984,19
1985,21
1986,23
1987,25
1988,42
1989,41
1990,44
1991,54
1992,49
1993,64
1994,98
1995,141
1996,133
1997,169
1998,187
1999,225
2000,223
2001,246
2002,276
2003,310
2004,278
2005,294
2006,298
2007,285
2008,248
2009,273
2010,286
2011,204
2012,201
