year,Avelina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,6
1916,6
1917,0
1918,9
1919,14
1920,10
1921,8
1922,14
1923,11
1924,11
1925,15
1926,8
1927,20
1928,10
1929,16
1930,8
1931,16
1932,21
1933,18
1934,7
1935,9
1936,11
1937,12
1938,11
1939,9
1940,7
1941,17
1942,15
1943,7
1944,15
1945,9
1946,12
1947,10
1948,9
1949,8
1950,10
1951,6
1952,8
1953,9
1954,12
1955,10
1956,10
1957,11
1958,8
1959,11
1960,7
1961,8
1962,6
1963,9
1964,0
1965,5
1966,5
1967,10
1968,5
1969,7
1970,5
1971,16
1972,0
1973,8
1974,0
1975,11
1976,5
1977,9
1978,6
1979,11
1980,9
1981,13
1982,18
1983,11
1984,12
1985,5
1986,0
1987,12
1988,10
1989,6
1990,6
1991,8
1992,10
1993,11
1994,19
1995,12
1996,14
1997,16
1998,16
1999,7
2000,16
2001,21
2002,17
2003,19
2004,21
2005,28
2006,28
2007,32
2008,32
2009,29
2010,35
2011,34
2012,30
