year,Adelia
1880,18
1881,21
1882,23
1883,30
1884,37
1885,23
1886,28
1887,40
1888,42
1889,41
1890,30
1891,37
1892,39
1893,45
1894,32
1895,41
1896,35
1897,47
1898,42
1899,36
1900,50
1901,39
1902,34
1903,28
1904,37
1905,41
1906,36
1907,36
1908,35
1909,37
1910,41
1911,38
1912,51
1913,38
1914,46
1915,82
1916,81
1917,78
1918,80
1919,72
1920,94
1921,64
1922,62
1923,59
1924,71
1925,58
1926,62
1927,64
1928,59
1929,45
1930,50
1931,45
1932,38
1933,28
1934,35
1935,35
1936,40
1937,32
1938,38
1939,33
1940,34
1941,34
1942,39
1943,35
1944,39
1945,32
1946,40
1947,34
1948,27
1949,46
1950,35
1951,34
1952,27
1953,27
1954,25
1955,27
1956,20
1957,18
1958,29
1959,21
1960,19
1961,17
1962,29
1963,22
1964,22
1965,18
1966,18
1967,18
1968,15
1969,25
1970,15
1971,15
1972,9
1973,12
1974,11
1975,15
1976,21
1977,25
1978,15
1979,26
1980,13
1981,24
1982,16
1983,21
1984,22
1985,14
1986,17
1987,21
1988,12
1989,16
1990,13
1991,19
1992,9
1993,10
1994,14
1995,24
1996,26
1997,27
1998,25
1999,22
2000,28
2001,28
2002,39
2003,40
2004,42
2005,38
2006,40
2007,45
2008,50
2009,49
2010,51
2011,53
2012,84
