year,Almond
1880,0
1881,0
1882,5
1883,0
1884,5
1885,6
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,6
1908,5
1909,0
1910,7
1911,10
1912,7
1913,13
1914,17
1915,22
1916,16
1917,21
1918,21
1919,26
1920,13
1921,16
1922,16
1923,12
1924,20
1925,15
1926,17
1927,16
1928,10
1929,9
1930,14
1931,13
1932,14
1933,7
1934,9
1935,13
1936,12
1937,11
1938,8
1939,8
1940,6
1941,6
1942,0
1943,5
1944,0
1945,0
1946,6
1947,9
1948,13
1949,8
1950,5
1951,5
1952,11
1953,0
1954,6
1955,5
1956,8
1957,6
1958,8
1959,9
1960,7
1961,0
1962,0
1963,7
1964,0
1965,7
1966,0
1967,7
1968,0
1969,0
1970,0
1971,0
1972,8
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
