year,Arvilla
1880,6
1881,15
1882,14
1883,12
1884,7
1885,9
1886,8
1887,9
1888,12
1889,0
1890,7
1891,12
1892,14
1893,16
1894,13
1895,18
1896,16
1897,24
1898,23
1899,19
1900,36
1901,23
1902,34
1903,27
1904,41
1905,28
1906,25
1907,33
1908,42
1909,34
1910,39
1911,45
1912,60
1913,64
1914,73
1915,88
1916,83
1917,75
1918,89
1919,89
1920,83
1921,78
1922,75
1923,72
1924,96
1925,95
1926,69
1927,78
1928,63
1929,50
1930,74
1931,63
1932,63
1933,57
1934,60
1935,50
1936,38
1937,40
1938,33
1939,38
1940,41
1941,25
1942,32
1943,33
1944,14
1945,16
1946,19
1947,16
1948,19
1949,17
1950,14
1951,15
1952,14
1953,6
1954,10
1955,12
1956,8
1957,5
1958,7
1959,13
1960,8
1961,5
1962,0
1963,0
1964,5
1965,0
1966,6
1967,5
1968,8
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
