year,Abner (F),Abner (M)
1880,0.000000,0.000134
1881,0.000000,0.000156
1882,0.000000,0.000144
1883,0.000000,0.000124
1884,0.000000,0.000136
1885,0.000000,0.000133
1886,0.000000,0.000070
1887,0.000000,0.000073
1888,0.000000,0.000083
1889,0.000000,0.000076
1890,0.000000,0.000050
1891,0.000000,0.000066
1892,0.000000,0.000084
1893,0.000000,0.000065
1894,0.000000,0.000068
1895,0.000000,0.000046
1896,0.000000,0.000048
1897,0.000000,0.000084
1898,0.000000,0.000055
1899,0.000000,0.000053
1900,0.000000,0.000047
1901,0.000000,0.000072
1902,0.000000,0.000054
1903,0.000000,0.000052
1904,0.000000,0.000047
1905,0.000000,0.000064
1906,0.000000,0.000051
1907,0.000000,0.000034
1908,0.000000,0.000043
1909,0.000000,0.000045
1910,0.000000,0.000056
1911,0.000000,0.000023
1912,0.000000,0.000046
1913,0.000000,0.000059
1914,0.000000,0.000059
1915,0.000000,0.000051
1916,0.000000,0.000045
1917,0.000000,0.000042
1918,0.000000,0.000039
1919,0.000000,0.000042
1920,0.000000,0.000031
1921,0.000000,0.000039
1922,0.000000,0.000035
1923,0.000000,0.000036
1924,0.000000,0.000031
1925,0.000000,0.000029
1926,0.000000,0.000024
1927,0.000000,0.000023
1928,0.000000,0.000026
1929,0.000000,0.000026
1930,0.000000,0.000022
1931,0.000000,0.000022
1932,0.000000,0.000023
1933,0.000000,0.000023
1934,0.000000,0.000018
1935,0.000000,0.000018
1936,0.000000,0.000016
1937,0.000000,0.000018
1938,0.000000,0.000022
1939,0.000000,0.000015
1940,0.000000,0.000015
1941,0.000000,0.000016
1942,0.000000,0.000013
1943,0.000000,0.000013
1944,0.000000,0.000009
1945,0.000000,0.000012
1946,0.000000,0.000010
1947,0.000000,0.000009
1948,0.000000,0.000010
1949,0.000000,0.000009
1950,0.000000,0.000008
1951,0.000000,0.000009
1952,0.000000,0.000007
1953,0.000000,0.000008
1954,0.000000,0.000005
1955,0.000000,0.000007
1956,0.000000,0.000006
1957,0.000000,0.000008
1958,0.000000,0.000005
1959,0.000000,0.000006
1960,0.000000,0.000007
1961,0.000000,0.000008
1962,0.000000,0.000009
1963,0.000000,0.000008
1964,0.000000,0.000005
1965,0.000000,0.000010
1966,0.000000,0.000011
1967,0.000000,0.000006
1968,0.000000,0.000011
1969,0.000000,0.000007
1970,0.000000,0.000007
1971,0.000000,0.000008
1972,0.000000,0.000008
1973,0.000000,0.000009
1974,0.000000,0.000008
1975,0.000000,0.000008
1976,0.000000,0.000011
1977,0.000000,0.000007
1978,0.000000,0.000011
1979,0.000000,0.000010
1980,0.000000,0.000012
1981,0.000000,0.000014
1982,0.000000,0.000011
1983,0.000000,0.000012
1984,0.000000,0.000012
1985,0.000000,0.000009
1986,0.000000,0.000013
1987,0.000000,0.000013
1988,0.000000,0.000017
1989,0.000000,0.000014
1990,0.000000,0.000017
1991,0.000000,0.000016
1992,0.000000,0.000017
1993,0.000000,0.000017
1994,0.000000,0.000016
1995,0.000000,0.000023
1996,0.000000,0.000024
1997,0.000000,0.000018
1998,0.000000,0.000018
1999,0.000000,0.000025
2000,0.000000,0.000030
2001,0.000000,0.000028
2002,0.000000,0.000030
2003,0.000000,0.000030
2004,0.000000,0.000035
2005,0.000000,0.000034
2006,0.000000,0.000039
2007,0.000000,0.000043
2008,0.000000,0.000037
2009,0.000000,0.000039
2010,0.000000,0.000044
2011,0.000000,0.000045
2012,0.000000,0.000043
2013,0.000000,0.000054
