year,Alethea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,5
1894,0
1895,0
1896,5
1897,5
1898,0
1899,5
1900,0
1901,0
1902,6
1903,6
1904,6
1905,0
1906,0
1907,6
1908,6
1909,7
1910,9
1911,7
1912,10
1913,16
1914,13
1915,22
1916,23
1917,21
1918,15
1919,18
1920,33
1921,23
1922,33
1923,17
1924,26
1925,17
1926,25
1927,11
1928,21
1929,8
1930,10
1931,8
1932,7
1933,19
1934,7
1935,9
1936,11
1937,14
1938,13
1939,10
1940,13
1941,11
1942,20
1943,14
1944,21
1945,12
1946,14
1947,15
1948,26
1949,26
1950,34
1951,39
1952,43
1953,37
1954,47
1955,58
1956,56
1957,46
1958,45
1959,59
1960,84
1961,71
1962,74
1963,68
1964,50
1965,65
1966,42
1967,52
1968,99
1969,75
1970,87
1971,104
1972,66
1973,322
1974,201
1975,101
1976,99
1977,79
1978,88
1979,68
1980,76
1981,72
1982,77
1983,54
1984,42
1985,42
1986,31
1987,54
1988,36
1989,48
1990,41
1991,34
1992,34
1993,26
1994,36
1995,25
1996,21
1997,24
1998,22
1999,23
2000,31
2001,34
2002,26
2003,38
2004,34
2005,27
2006,25
2007,33
2008,28
2009,26
2010,25
2011,33
2012,28
