year,Ariella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,0
1969,7
1970,12
1971,10
1972,13
1973,14
1974,12
1975,8
1976,16
1977,18
1978,23
1979,19
1980,30
1981,29
1982,33
1983,45
1984,40
1985,34
1986,52
1987,49
1988,64
1989,75
1990,134
1991,135
1992,104
1993,107
1994,105
1995,132
1996,113
1997,122
1998,135
1999,132
2000,122
2001,135
2002,138
2003,164
2004,147
2005,195
2006,247
2007,246
2008,299
2009,324
2010,384
2011,451
2012,549
