year,Aide
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,0
1953,8
1954,7
1955,6
1956,9
1957,0
1958,9
1959,9
1960,9
1961,7
1962,5
1963,14
1964,7
1965,11
1966,12
1967,14
1968,10
1969,24
1970,19
1971,35
1972,29
1973,22
1974,41
1975,22
1976,42
1977,47
1978,34
1979,31
1980,40
1981,28
1982,37
1983,27
1984,24
1985,26
1986,23
1987,24
1988,21
1989,24
1990,40
1991,32
1992,50
1993,40
1994,46
1995,56
1996,100
1997,53
1998,39
1999,53
2000,52
2001,40
2002,44
2003,47
2004,33
2005,49
2006,40
2007,49
2008,37
2009,33
2010,40
2011,31
2012,29
