year,Adriano
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,7
1922,0
1923,0
1924,0
1925,0
1926,0
1927,6
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,5
1960,0
1961,6
1962,0
1963,9
1964,6
1965,0
1966,13
1967,5
1968,12
1969,10
1970,10
1971,8
1972,11
1973,7
1974,12
1975,15
1976,17
1977,19
1978,10
1979,21
1980,17
1981,12
1982,13
1983,14
1984,12
1985,10
1986,16
1987,19
1988,23
1989,25
1990,24
1991,26
1992,27
1993,13
1994,30
1995,33
1996,40
1997,30
1998,36
1999,35
2000,28
2001,41
2002,46
2003,42
2004,70
2005,95
2006,118
2007,110
2008,104
2009,84
2010,94
2011,81
2012,96
