year,Archibald (F),Archibald (M)
1880,0.000000,0.000134
1881,0.000000,0.000140
1882,0.000000,0.000135
1883,0.000000,0.000129
1884,0.000000,0.000119
1885,0.000000,0.000104
1886,0.000000,0.000117
1887,0.000000,0.000077
1888,0.000000,0.000073
1889,0.000000,0.000080
1890,0.000000,0.000126
1891,0.000000,0.000066
1892,0.000000,0.000111
1893,0.000000,0.000061
1894,0.000000,0.000074
1895,0.000000,0.000074
1896,0.000000,0.000048
1897,0.000000,0.000046
1898,0.000000,0.000055
1899,0.000000,0.000056
1900,0.000000,0.000031
1901,0.000000,0.000043
1902,0.000000,0.000047
1903,0.000000,0.000060
1904,0.000000,0.000040
1905,0.000000,0.000035
1906,0.000000,0.000037
1907,0.000000,0.000034
1908,0.000000,0.000039
1909,0.000000,0.000022
1910,0.000000,0.000029
1911,0.000000,0.000023
1912,0.000000,0.000053
1913,0.000000,0.000034
1914,0.000000,0.000034
1915,0.000000,0.000031
1916,0.000000,0.000032
1917,0.000000,0.000036
1918,0.000000,0.000025
1919,0.000000,0.000033
1920,0.000000,0.000027
1921,0.000000,0.000022
1922,0.000000,0.000026
1923,0.000000,0.000030
1924,0.000000,0.000026
1925,0.000000,0.000027
1926,0.000000,0.000017
1927,0.000000,0.000019
1928,0.000000,0.000018
1929,0.000000,0.000019
1930,0.000000,0.000014
1931,0.000000,0.000014
1932,0.000000,0.000013
1933,0.000000,0.000010
1934,0.000000,0.000010
1935,0.000000,0.000011
1936,0.000000,0.000009
1937,0.000000,0.000009
1938,0.000000,0.000005
1939,0.000000,0.000005
1940,0.000000,0.000010
1941,0.000000,0.000011
1942,0.000000,0.000006
1943,0.000000,0.000010
1944,0.000000,0.000004
1945,0.000000,0.000008
1946,0.000000,0.000005
1947,0.000000,0.000006
1948,0.000000,0.000004
1949,0.000000,0.000005
1950,0.000000,0.000005
1951,0.000000,0.000005
1952,0.000000,0.000007
1953,0.000000,0.000007
1954,0.000000,0.000005
1955,0.000000,0.000003
1956,0.000000,0.000006
1957,0.000000,0.000004
1958,0.000000,0.000002
1959,0.000000,0.000004
1960,0.000000,0.000002
1961,0.000000,0.000003
1962,0.000000,0.000002
1963,0.000000,0.000003
1964,0.000000,0.000002
1965,0.000000,0.000004
1966,0.000000,0.000002
1967,0.000000,0.000004
1968,0.000000,0.000004
1969,0.000000,0.000003
1970,0.000000,0.000002
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000003
1974,0.000000,0.000003
1975,0.000000,0.000003
1976,0.000000,0.000002
1977,0.000000,0.000002
1978,0.000000,0.000002
1979,0.000000,0.000002
1980,0.000000,0.000004
1981,0.000000,0.000003
1982,0.000000,0.000003
1983,0.000000,0.000002
1984,0.000000,0.000002
1985,0.000000,0.000002
1986,0.000000,0.000003
1987,0.000000,0.000002
1988,0.000000,0.000001
1989,0.000000,0.000002
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000002
1994,0.000000,0.000002
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000000
1998,0.000000,0.000002
1999,0.000000,0.000002
2000,0.000000,0.000000
2001,0.000000,0.000001
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000003
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000003
2009,0.000000,0.000004
2010,0.000000,0.000006
2011,0.000000,0.000004
2012,0.000000,0.000009
