year,Andy (F),Andy (M)
1880,0.000000,0.000288
1881,0.000000,0.000301
1882,0.000000,0.000230
1883,0.000000,0.000198
1884,0.000000,0.000226
1885,0.000000,0.000228
1886,0.000000,0.000192
1887,0.000000,0.000218
1888,0.000000,0.000200
1889,0.000000,0.000156
1890,0.000000,0.000176
1891,0.000000,0.000206
1892,0.000000,0.000218
1893,0.000000,0.000157
1894,0.000000,0.000130
1895,0.000000,0.000111
1896,0.000000,0.000126
1897,0.000000,0.000144
1898,0.000000,0.000105
1899,0.000000,0.000121
1900,0.000000,0.000120
1901,0.000000,0.000098
1902,0.000000,0.000109
1903,0.000000,0.000118
1904,0.000000,0.000114
1905,0.000000,0.000090
1906,0.000000,0.000105
1907,0.000000,0.000118
1908,0.000000,0.000115
1909,0.000000,0.000104
1910,0.000000,0.000129
1911,0.000000,0.000098
1912,0.000000,0.000114
1913,0.000000,0.000132
1914,0.000000,0.000159
1915,0.000000,0.000151
1916,0.000000,0.000150
1917,0.000002,0.000148
1918,0.000003,0.000166
1919,0.000002,0.000135
1920,0.000002,0.000139
1921,0.000000,0.000135
1922,0.000000,0.000132
1923,0.000003,0.000126
1924,0.000003,0.000112
1925,0.000002,0.000109
1926,0.000000,0.000106
1927,0.000000,0.000132
1928,0.000000,0.000114
1929,0.000000,0.000116
1930,0.000002,0.000116
1931,0.000003,0.000115
1932,0.000000,0.000103
1933,0.000000,0.000116
1934,0.000003,0.000102
1935,0.000004,0.000105
1936,0.000000,0.000108
1937,0.000000,0.000109
1938,0.000000,0.000110
1939,0.000004,0.000114
1940,0.000003,0.000112
1941,0.000000,0.000114
1942,0.000002,0.000119
1943,0.000000,0.000122
1944,0.000003,0.000122
1945,0.000003,0.000130
1946,0.000003,0.000134
1947,0.000003,0.000127
1948,0.000002,0.000141
1949,0.000002,0.000130
1950,0.000003,0.000114
1951,0.000002,0.000116
1952,0.000001,0.000112
1953,0.000000,0.000121
1954,0.000002,0.000126
1955,0.000002,0.000142
1956,0.000001,0.000164
1957,0.000003,0.000232
1958,0.000004,0.000274
1959,0.000006,0.000316
1960,0.000006,0.000344
1961,0.000004,0.000332
1962,0.000003,0.000351
1963,0.000004,0.000376
1964,0.000004,0.000378
1965,0.000003,0.000323
1966,0.000003,0.000287
1967,0.000003,0.000277
1968,0.000003,0.000268
1969,0.000004,0.000272
1970,0.000003,0.000265
1971,0.000003,0.000247
1972,0.000003,0.000244
1973,0.000003,0.000256
1974,0.000000,0.000295
1975,0.000004,0.000307
1976,0.000003,0.000301
1977,0.000003,0.000306
1978,0.000003,0.000305
1979,0.000004,0.000304
1980,0.000004,0.000281
1981,0.000003,0.000280
1982,0.000003,0.000264
1983,0.000004,0.000242
1984,0.000004,0.000212
1985,0.000002,0.000213
1986,0.000003,0.000202
1987,0.000003,0.000224
1988,0.000004,0.000226
1989,0.000003,0.000235
1990,0.000003,0.000242
1991,0.000003,0.000267
1992,0.000004,0.000302
1993,0.000003,0.000304
1994,0.000003,0.000302
1995,0.000005,0.000301
1996,0.000002,0.000352
1997,0.000004,0.000390
1998,0.000004,0.000390
1999,0.000003,0.000423
2000,0.000003,0.000449
2001,0.000003,0.000477
2002,0.000006,0.000459
2003,0.000004,0.000428
2004,0.000002,0.000467
2005,0.000004,0.000500
2006,0.000006,0.000481
2007,0.000006,0.000458
2008,0.000006,0.000461
2009,0.000005,0.000435
2010,0.000004,0.000400
2011,0.000005,0.000348
2012,0.000004,0.000348
