year,Alean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,7
1901,0
1902,0
1903,7
1904,5
1905,0
1906,7
1907,7
1908,5
1909,6
1910,14
1911,8
1912,20
1913,15
1914,17
1915,18
1916,18
1917,19
1918,28
1919,35
1920,31
1921,27
1922,38
1923,33
1924,33
1925,28
1926,28
1927,40
1928,33
1929,26
1930,31
1931,16
1932,36
1933,28
1934,23
1935,18
1936,28
1937,18
1938,22
1939,18
1940,16
1941,14
1942,16
1943,23
1944,12
1945,12
1946,7
1947,9
1948,11
1949,14
1950,19
1951,19
1952,15
1953,13
1954,10
1955,7
1956,5
1957,6
1958,9
1959,7
1960,7
1961,10
1962,7
1963,8
1964,0
1965,0
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,5
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
