year,Abraham (F),Abraham (M)
1880,0.000000,0.000402
1881,0.000000,0.000446
1882,0.000000,0.000411
1883,0.000000,0.000240
1884,0.000000,0.000275
1885,0.000000,0.000357
1886,0.000000,0.000302
1887,0.000000,0.000303
1888,0.000000,0.000260
1889,0.000000,0.000287
1890,0.000000,0.000232
1891,0.000000,0.000216
1892,0.000000,0.000296
1893,0.000000,0.000317
1894,0.000000,0.000216
1895,0.000000,0.000268
1896,0.000000,0.000305
1897,0.000000,0.000179
1898,0.000000,0.000241
1899,0.000000,0.000251
1900,0.000000,0.000222
1901,0.000000,0.000179
1902,0.000000,0.000212
1903,0.000000,0.000249
1904,0.000000,0.000275
1905,0.000000,0.000264
1906,0.000000,0.000285
1907,0.000000,0.000318
1908,0.000000,0.000307
1909,0.000000,0.000319
1910,0.000000,0.000323
1911,0.000000,0.000453
1912,0.000000,0.000539
1913,0.000000,0.000485
1914,0.000000,0.000494
1915,0.000000,0.000431
1916,0.000000,0.000389
1917,0.000000,0.000364
1918,0.000000,0.000349
1919,0.000000,0.000351
1920,0.000000,0.000290
1921,0.000000,0.000293
1922,0.000000,0.000262
1923,0.000000,0.000241
1924,0.000000,0.000233
1925,0.000000,0.000210
1926,0.000000,0.000186
1927,0.000000,0.000176
1928,0.000000,0.000177
1929,0.000000,0.000156
1930,0.000000,0.000155
1931,0.000000,0.000138
1932,0.000000,0.000131
1933,0.000000,0.000123
1934,0.000000,0.000118
1935,0.000000,0.000124
1936,0.000000,0.000103
1937,0.000000,0.000101
1938,0.000000,0.000096
1939,0.000000,0.000089
1940,0.000000,0.000095
1941,0.000000,0.000079
1942,0.000000,0.000086
1943,0.000000,0.000071
1944,0.000000,0.000071
1945,0.000000,0.000078
1946,0.000000,0.000066
1947,0.000000,0.000067
1948,0.000000,0.000073
1949,0.000000,0.000083
1950,0.000000,0.000085
1951,0.000000,0.000077
1952,0.000000,0.000066
1953,0.000000,0.000082
1954,0.000000,0.000076
1955,0.000000,0.000072
1956,0.000000,0.000074
1957,0.000000,0.000065
1958,0.000000,0.000068
1959,0.000000,0.000075
1960,0.000000,0.000071
1961,0.000000,0.000067
1962,0.000000,0.000069
1963,0.000000,0.000069
1964,0.000000,0.000070
1965,0.000000,0.000076
1966,0.000000,0.000073
1967,0.000000,0.000067
1968,0.000000,0.000076
1969,0.000000,0.000087
1970,0.000000,0.000098
1971,0.000001,0.000106
1972,0.000000,0.000123
1973,0.000000,0.000134
1974,0.000002,0.000149
1975,0.000002,0.000166
1976,0.000000,0.000187
1977,0.000000,0.000213
1978,0.000003,0.000217
1979,0.000002,0.000221
1980,0.000000,0.000226
1981,0.000000,0.000235
1982,0.000003,0.000239
1983,0.000003,0.000222
1984,0.000003,0.000243
1985,0.000002,0.000238
1986,0.000002,0.000255
1987,0.000003,0.000251
1988,0.000000,0.000263
1989,0.000002,0.000260
1990,0.000001,0.000286
1991,0.000001,0.000297
1992,0.000000,0.000298
1993,0.000002,0.000310
1994,0.000002,0.000328
1995,0.000000,0.000352
1996,0.000000,0.000366
1997,0.000000,0.000394
1998,0.000001,0.000419
1999,0.000002,0.000429
2000,0.000002,0.000445
2001,0.000001,0.000486
2002,0.000000,0.000481
2003,0.000002,0.000499
2004,0.000002,0.000520
2005,0.000001,0.000532
2006,0.000000,0.000558
2007,0.000000,0.000536
2008,0.000001,0.000547
2009,0.000001,0.000552
2010,0.000000,0.000522
2011,0.000000,0.000530
2012,0.000001,0.000535
2013,0.000002,0.000607
