year,Avelino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,9
1918,0
1919,10
1920,10
1921,5
1922,8
1923,6
1924,9
1925,14
1926,5
1927,9
1928,13
1929,11
1930,12
1931,10
1932,8
1933,9
1934,7
1935,7
1936,7
1937,9
1938,11
1939,10
1940,0
1941,10
1942,8
1943,8
1944,5
1945,10
1946,8
1947,9
1948,16
1949,15
1950,10
1951,11
1952,12
1953,9
1954,6
1955,12
1956,11
1957,8
1958,6
1959,10
1960,8
1961,11
1962,15
1963,8
1964,9
1965,8
1966,11
1967,9
1968,12
1969,6
1970,10
1971,11
1972,15
1973,0
1974,8
1975,9
1976,17
1977,9
1978,8
1979,16
1980,11
1981,11
1982,13
1983,8
1984,13
1985,8
1986,10
1987,9
1988,14
1989,6
1990,11
1991,9
1992,10
1993,5
1994,13
1995,9
1996,8
1997,8
1998,10
1999,19
2000,12
2001,17
2002,12
2003,12
2004,11
2005,16
2006,11
2007,8
2008,0
2009,15
2010,8
2011,5
2012,12
