year,Amaryllis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,7
1927,45
1928,28
1929,28
1930,25
1931,17
1932,18
1933,18
1934,18
1935,9
1936,15
1937,13
1938,11
1939,0
1940,5
1941,6
1942,7
1943,6
1944,6
1945,9
1946,8
1947,10
1948,0
1949,8
1950,10
1951,5
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,5
1960,5
1961,0
1962,0
1963,0
1964,0
1965,0
1966,5
1967,5
1968,6
1969,10
1970,10
1971,12
1972,10
1973,11
1974,12
1975,10
1976,10
1977,8
1978,8
1979,9
1980,7
1981,7
1982,8
1983,5
1984,0
1985,10
1986,11
1987,26
1988,19
1989,17
1990,17
1991,21
1992,19
1993,9
1994,11
1995,16
1996,15
1997,16
1998,17
1999,9
2000,10
2001,15
2002,24
2003,22
2004,17
2005,16
2006,12
2007,27
2008,29
2009,28
2010,24
2011,23
2012,36
