year,Alvena
1880,8
1881,5
1882,7
1883,13
1884,11
1885,0
1886,7
1887,15
1888,15
1889,6
1890,19
1891,9
1892,10
1893,14
1894,15
1895,19
1896,13
1897,15
1898,18
1899,15
1900,13
1901,15
1902,13
1903,15
1904,16
1905,19
1906,13
1907,10
1908,23
1909,26
1910,20
1911,19
1912,23
1913,29
1914,34
1915,37
1916,43
1917,47
1918,44
1919,42
1920,50
1921,48
1922,50
1923,46
1924,41
1925,31
1926,41
1927,31
1928,11
1929,25
1930,32
1931,23
1932,20
1933,19
1934,18
1935,11
1936,12
1937,10
1938,15
1939,15
1940,7
1941,21
1942,11
1943,13
1944,15
1945,9
1946,24
1947,9
1948,14
1949,11
1950,7
1951,8
1952,0
1953,11
1954,12
1955,5
1956,10
1957,14
1958,17
1959,6
1960,8
1961,8
1962,7
1963,0
1964,8
1965,5
1966,9
1967,7
1968,6
1969,0
1970,0
1971,0
1972,7
1973,0
1974,7
1975,0
1976,0
1977,0
1978,6
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
