year,Ardelia
1880,6
1881,0
1882,0
1883,5
1884,5
1885,0
1886,7
1887,0
1888,8
1889,9
1890,5
1891,6
1892,12
1893,10
1894,6
1895,0
1896,6
1897,11
1898,13
1899,10
1900,7
1901,10
1902,12
1903,10
1904,11
1905,14
1906,9
1907,11
1908,20
1909,18
1910,12
1911,16
1912,28
1913,16
1914,27
1915,22
1916,34
1917,30
1918,20
1919,27
1920,28
1921,32
1922,28
1923,29
1924,39
1925,28
1926,24
1927,13
1928,21
1929,16
1930,18
1931,18
1932,21
1933,20
1934,10
1935,21
1936,16
1937,17
1938,19
1939,19
1940,26
1941,15
1942,14
1943,12
1944,18
1945,16
1946,13
1947,14
1948,14
1949,21
1950,16
1951,17
1952,13
1953,15
1954,13
1955,11
1956,13
1957,12
1958,21
1959,11
1960,15
1961,10
1962,13
1963,7
1964,11
1965,12
1966,0
1967,0
1968,9
1969,5
1970,8
1971,5
1972,8
1973,0
1974,8
1975,0
1976,5
1977,0
1978,0
1979,7
1980,5
1981,8
1982,0
1983,6
1984,0
1985,0
1986,0
1987,7
1988,0
1989,0
1990,0
1991,0
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
