year,Angeline
1880,25
1881,21
1882,29
1883,34
1884,35
1885,27
1886,27
1887,52
1888,57
1889,57
1890,70
1891,65
1892,80
1893,69
1894,68
1895,82
1896,88
1897,89
1898,111
1899,105
1900,133
1901,110
1902,129
1903,152
1904,151
1905,154
1906,170
1907,190
1908,188
1909,232
1910,276
1911,321
1912,386
1913,478
1914,632
1915,922
1916,940
1917,941
1918,954
1919,894
1920,918
1921,986
1922,935
1923,904
1924,823
1925,826
1926,747
1927,689
1928,672
1929,613
1930,547
1931,465
1932,470
1933,390
1934,356
1935,320
1936,286
1937,286
1938,234
1939,266
1940,214
1941,207
1942,188
1943,178
1944,175
1945,135
1946,147
1947,174
1948,165
1949,159
1950,157
1951,173
1952,115
1953,144
1954,145
1955,137
1956,113
1957,99
1958,109
1959,96
1960,103
1961,101
1962,115
1963,102
1964,138
1965,111
1966,110
1967,141
1968,143
1969,144
1970,193
1971,188
1972,158
1973,169
1974,178
1975,173
1976,140
1977,140
1978,155
1979,158
1980,179
1981,174
1982,169
1983,132
1984,143
1985,134
1986,144
1987,157
1988,148
1989,159
1990,163
1991,164
1992,165
1993,176
1994,140
1995,120
1996,128
1997,147
1998,147
1999,166
2000,179
2001,200
2002,220
2003,230
2004,231
2005,269
2006,311
2007,498
2008,371
2009,331
2010,313
2011,362
2012,363
