year,Ali (F),Ali (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000002
1925,0.000000,0.000000
1926,0.000000,0.000002
1927,0.000000,0.000003
1928,0.000000,0.000003
1929,0.000000,0.000000
1930,0.000000,0.000003
1931,0.000000,0.000003
1932,0.000000,0.000000
1933,0.000000,0.000003
1934,0.000000,0.000002
1935,0.000000,0.000000
1936,0.000000,0.000002
1937,0.000000,0.000004
1938,0.000000,0.000003
1939,0.000000,0.000003
1940,0.000000,0.000003
1941,0.000000,0.000003
1942,0.000000,0.000000
1943,0.000000,0.000003
1944,0.000000,0.000004
1945,0.000000,0.000003
1946,0.000000,0.000002
1947,0.000000,0.000002
1948,0.000000,0.000001
1949,0.000000,0.000002
1950,0.000000,0.000004
1951,0.000000,0.000002
1952,0.000000,0.000004
1953,0.000000,0.000004
1954,0.000000,0.000005
1955,0.000000,0.000004
1956,0.000000,0.000004
1957,0.000000,0.000004
1958,0.000000,0.000004
1959,0.000000,0.000006
1960,0.000001,0.000006
1961,0.000000,0.000007
1962,0.000000,0.000008
1963,0.000000,0.000009
1964,0.000002,0.000012
1965,0.000000,0.000013
1966,0.000000,0.000010
1967,0.000000,0.000011
1968,0.000000,0.000015
1969,0.000002,0.000020
1970,0.000009,0.000021
1971,0.000031,0.000040
1972,0.000032,0.000038
1973,0.000033,0.000038
1974,0.000032,0.000052
1975,0.000022,0.000053
1976,0.000023,0.000066
1977,0.000020,0.000062
1978,0.000020,0.000080
1979,0.000025,0.000094
1980,0.000020,0.000074
1981,0.000019,0.000068
1982,0.000019,0.000075
1983,0.000023,0.000068
1984,0.000036,0.000075
1985,0.000045,0.000079
1986,0.000079,0.000079
1987,0.000072,0.000085
1988,0.000061,0.000089
1989,0.000068,0.000100
1990,0.000078,0.000111
1991,0.000077,0.000108
1992,0.000070,0.000116
1993,0.000080,0.000117
1994,0.000085,0.000128
1995,0.000079,0.000140
1996,0.000089,0.000145
1997,0.000084,0.000163
1998,0.000073,0.000169
1999,0.000067,0.000176
2000,0.000062,0.000180
2001,0.000054,0.000191
2002,0.000052,0.000233
2003,0.000049,0.000213
2004,0.000074,0.000190
2005,0.000062,0.000197
2006,0.000061,0.000209
2007,0.000061,0.000195
2008,0.000081,0.000189
2009,0.000074,0.000214
2010,0.000105,0.000230
2011,0.000106,0.000219
2012,0.000084,0.000238
2013,0.000068,0.000249
