year,Alfonzo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,8
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,9
1901,5
1902,7
1903,10
1904,9
1905,8
1906,6
1907,7
1908,6
1909,16
1910,12
1911,7
1912,15
1913,12
1914,20
1915,24
1916,38
1917,31
1918,27
1919,35
1920,31
1921,37
1922,30
1923,25
1924,32
1925,46
1926,46
1927,40
1928,35
1929,46
1930,45
1931,37
1932,59
1933,29
1934,42
1935,31
1936,35
1937,39
1938,22
1939,42
1940,34
1941,49
1942,36
1943,45
1944,40
1945,37
1946,47
1947,63
1948,62
1949,60
1950,64
1951,63
1952,64
1953,84
1954,71
1955,83
1956,64
1957,83
1958,52
1959,72
1960,63
1961,75
1962,64
1963,61
1964,71
1965,66
1966,69
1967,70
1968,64
1969,68
1970,90
1971,84
1972,81
1973,69
1974,72
1975,84
1976,86
1977,85
1978,81
1979,70
1980,60
1981,71
1982,58
1983,77
1984,55
1985,64
1986,65
1987,70
1988,69
1989,79
1990,69
1991,78
1992,68
1993,63
1994,60
1995,44
1996,59
1997,53
1998,42
1999,50
2000,45
2001,42
2002,48
2003,33
2004,33
2005,38
2006,44
2007,38
2008,34
2009,41
2010,27
2011,31
2012,33
