year,Abel (F),Abel (M)
1880,0.000000,0.000045
1881,0.000000,0.000062
1882,0.000000,0.000045
1883,0.000000,0.000055
1884,0.000000,0.000058
1885,0.000000,0.000025
1886,0.000000,0.000063
1887,0.000000,0.000044
1888,0.000000,0.000027
1889,0.000000,0.000031
1890,0.000000,0.000046
1891,0.000000,0.000035
1892,0.000000,0.000024
1893,0.000000,0.000040
1894,0.000000,0.000044
1895,0.000000,0.000017
1896,0.000000,0.000042
1897,0.000000,0.000035
1898,0.000000,0.000026
1899,0.000000,0.000044
1900,0.000000,0.000033
1901,0.000000,0.000038
1902,0.000000,0.000028
1903,0.000000,0.000037
1904,0.000000,0.000025
1905,0.000000,0.000014
1906,0.000000,0.000026
1907,0.000000,0.000021
1908,0.000000,0.000031
1909,0.000000,0.000031
1910,0.000000,0.000019
1911,0.000000,0.000047
1912,0.000000,0.000040
1913,0.000000,0.000042
1914,0.000000,0.000036
1915,0.000000,0.000035
1916,0.000000,0.000032
1917,0.000000,0.000043
1918,0.000000,0.000035
1919,0.000000,0.000043
1920,0.000000,0.000035
1921,0.000000,0.000036
1922,0.000000,0.000040
1923,0.000000,0.000032
1924,0.000000,0.000046
1925,0.000000,0.000036
1926,0.000000,0.000044
1927,0.000000,0.000034
1928,0.000000,0.000038
1929,0.000000,0.000044
1930,0.000000,0.000055
1931,0.000000,0.000044
1932,0.000000,0.000045
1933,0.000000,0.000048
1934,0.000000,0.000045
1935,0.000000,0.000044
1936,0.000000,0.000036
1937,0.000000,0.000043
1938,0.000000,0.000039
1939,0.000000,0.000043
1940,0.000000,0.000044
1941,0.000000,0.000050
1942,0.000000,0.000039
1943,0.000000,0.000032
1944,0.000000,0.000044
1945,0.000000,0.000043
1946,0.000000,0.000037
1947,0.000000,0.000040
1948,0.000000,0.000044
1949,0.000000,0.000046
1950,0.000000,0.000048
1951,0.000000,0.000050
1952,0.000000,0.000043
1953,0.000000,0.000057
1954,0.000000,0.000056
1955,0.000000,0.000054
1956,0.000000,0.000051
1957,0.000000,0.000056
1958,0.000000,0.000058
1959,0.000000,0.000054
1960,0.000000,0.000060
1961,0.000000,0.000068
1962,0.000000,0.000064
1963,0.000000,0.000069
1964,0.000000,0.000070
1965,0.000000,0.000077
1966,0.000000,0.000074
1967,0.000000,0.000075
1968,0.000000,0.000078
1969,0.000000,0.000080
1970,0.000000,0.000078
1971,0.000000,0.000090
1972,0.000000,0.000102
1973,0.000000,0.000119
1974,0.000000,0.000109
1975,0.000002,0.000126
1976,0.000000,0.000130
1977,0.000000,0.000109
1978,0.000000,0.000117
1979,0.000002,0.000129
1980,0.000001,0.000138
1981,0.000002,0.000138
1982,0.000000,0.000133
1983,0.000003,0.000123
1984,0.000000,0.000122
1985,0.000000,0.000129
1986,0.000001,0.000136
1987,0.000001,0.000127
1988,0.000001,0.000139
1989,0.000002,0.000141
1990,0.000002,0.000153
1991,0.000000,0.000160
1992,0.000000,0.000164
1993,0.000001,0.000164
1994,0.000000,0.000157
1995,0.000000,0.000196
1996,0.000000,0.000166
1997,0.000000,0.000198
1998,0.000000,0.000182
1999,0.000000,0.000193
2000,0.000000,0.000202
2001,0.000000,0.000196
2002,0.000000,0.000207
2003,0.000001,0.000199
2004,0.000002,0.000207
2005,0.000000,0.000223
2006,0.000000,0.000233
2007,0.000000,0.000236
2008,0.000000,0.000220
2009,0.000001,0.000253
2010,0.000000,0.000305
2011,0.000002,0.000412
2012,0.000000,0.000533
