year,Aggie
1880,0
1881,5
1882,0
1883,6
1884,9
1885,9
1886,6
1887,9
1888,6
1889,8
1890,11
1891,10
1892,7
1893,9
1894,7
1895,10
1896,12
1897,10
1898,12
1899,8
1900,26
1901,10
1902,13
1903,10
1904,17
1905,13
1906,7
1907,11
1908,18
1909,23
1910,16
1911,11
1912,8
1913,23
1914,25
1915,27
1916,31
1917,31
1918,23
1919,33
1920,46
1921,20
1922,38
1923,27
1924,34
1925,28
1926,24
1927,26
1928,26
1929,14
1930,17
1931,22
1932,22
1933,19
1934,22
1935,21
1936,21
1937,25
1938,27
1939,22
1940,10
1941,13
1942,14
1943,21
1944,21
1945,12
1946,18
1947,13
1948,10
1949,17
1950,13
1951,8
1952,6
1953,15
1954,13
1955,11
1956,15
1957,8
1958,13
1959,14
1960,7
1961,9
1962,15
1963,14
1964,11
1965,10
1966,6
1967,9
1968,0
1969,6
1970,0
1971,0
1972,6
1973,8
1974,0
1975,5
1976,5
1977,6
1978,9
1979,0
1980,0
1981,0
1982,0
1983,0
1984,7
1985,0
1986,0
1987,0
1988,0
1989,8
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,6
2009,7
2010,0
2011,0
2012,0
