year,Ambrosio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,6
1914,6
1915,9
1916,5
1917,8
1918,8
1919,10
1920,12
1921,16
1922,8
1923,8
1924,14
1925,13
1926,14
1927,9
1928,20
1929,10
1930,9
1931,12
1932,11
1933,8
1934,6
1935,9
1936,7
1937,11
1938,7
1939,10
1940,10
1941,8
1942,9
1943,10
1944,12
1945,10
1946,6
1947,15
1948,13
1949,7
1950,10
1951,15
1952,8
1953,15
1954,14
1955,14
1956,12
1957,11
1958,9
1959,7
1960,14
1961,8
1962,8
1963,13
1964,14
1965,7
1966,8
1967,6
1968,8
1969,5
1970,0
1971,0
1972,9
1973,11
1974,10
1975,10
1976,6
1977,7
1978,7
1979,10
1980,13
1981,10
1982,6
1983,8
1984,7
1985,8
1986,9
1987,16
1988,13
1989,6
1990,10
1991,5
1992,7
1993,10
1994,16
1995,9
1996,8
1997,11
1998,12
1999,0
2000,0
2001,10
2002,0
2003,8
2004,5
2005,9
2006,7
2007,0
2008,0
2009,9
2010,0
2011,6
2012,8
