year,Angelyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,8
1910,0
1911,0
1912,7
1913,7
1914,7
1915,16
1916,11
1917,9
1918,15
1919,11
1920,12
1921,20
1922,5
1923,14
1924,14
1925,8
1926,6
1927,7
1928,11
1929,5
1930,0
1931,9
1932,13
1933,12
1934,12
1935,15
1936,14
1937,13
1938,14
1939,14
1940,13
1941,14
1942,11
1943,12
1944,19
1945,18
1946,27
1947,29
1948,31
1949,25
1950,35
1951,17
1952,30
1953,24
1954,20
1955,36
1956,19
1957,25
1958,22
1959,19
1960,28
1961,26
1962,13
1963,30
1964,23
1965,24
1966,33
1967,13
1968,21
1969,25
1970,27
1971,30
1972,27
1973,25
1974,22
1975,24
1976,23
1977,25
1978,24
1979,26
1980,21
1981,19
1982,21
1983,20
1984,17
1985,19
1986,11
1987,20
1988,16
1989,9
1990,8
1991,17
1992,15
1993,19
1994,23
1995,30
1996,17
1997,19
1998,19
1999,23
2000,27
2001,22
2002,33
2003,38
2004,38
2005,40
2006,43
2007,85
2008,75
2009,69
2010,67
2011,75
2012,70
