year,Alida
1880,17
1881,16
1882,18
1883,16
1884,7
1885,16
1886,22
1887,16
1888,19
1889,20
1890,21
1891,26
1892,25
1893,24
1894,32
1895,26
1896,34
1897,30
1898,13
1899,27
1900,26
1901,17
1902,27
1903,21
1904,18
1905,24
1906,21
1907,24
1908,27
1909,18
1910,28
1911,18
1912,29
1913,40
1914,33
1915,51
1916,54
1917,64
1918,53
1919,37
1920,37
1921,45
1922,46
1923,41
1924,36
1925,26
1926,35
1927,45
1928,27
1929,31
1930,43
1931,30
1932,35
1933,33
1934,32
1935,33
1936,28
1937,18
1938,26
1939,19
1940,26
1941,27
1942,32
1943,23
1944,28
1945,22
1946,40
1947,49
1948,62
1949,63
1950,38
1951,52
1952,51
1953,56
1954,60
1955,35
1956,38
1957,36
1958,49
1959,44
1960,44
1961,40
1962,32
1963,35
1964,33
1965,36
1966,27
1967,33
1968,18
1969,25
1970,38
1971,43
1972,34
1973,39
1974,41
1975,31
1976,39
1977,45
1978,34
1979,37
1980,36
1981,38
1982,31
1983,29
1984,37
1985,35
1986,35
1987,32
1988,29
1989,31
1990,29
1991,26
1992,34
1993,29
1994,31
1995,26
1996,28
1997,31
1998,35
1999,25
2000,36
2001,29
2002,34
2003,30
2004,25
2005,47
2006,21
2007,33
2008,25
2009,31
2010,25
2011,31
2012,28
