year,Aurelia
1880,21
1881,15
1882,18
1883,14
1884,21
1885,17
1886,29
1887,25
1888,36
1889,35
1890,33
1891,33
1892,36
1893,45
1894,46
1895,45
1896,42
1897,44
1898,56
1899,54
1900,66
1901,53
1902,50
1903,46
1904,40
1905,47
1906,49
1907,72
1908,83
1909,71
1910,69
1911,81
1912,90
1913,102
1914,111
1915,164
1916,162
1917,173
1918,188
1919,158
1920,174
1921,166
1922,144
1923,179
1924,187
1925,187
1926,177
1927,169
1928,157
1929,123
1930,148
1931,117
1932,116
1933,94
1934,124
1935,96
1936,101
1937,99
1938,108
1939,65
1940,79
1941,94
1942,80
1943,85
1944,73
1945,91
1946,84
1947,88
1948,88
1949,92
1950,95
1951,82
1952,64
1953,69
1954,90
1955,87
1956,88
1957,74
1958,59
1959,58
1960,68
1961,63
1962,56
1963,47
1964,44
1965,45
1966,52
1967,51
1968,48
1969,51
1970,48
1971,70
1972,60
1973,58
1974,53
1975,50
1976,64
1977,62
1978,51
1979,75
1980,59
1981,53
1982,70
1983,51
1984,66
1985,60
1986,47
1987,53
1988,66
1989,48
1990,75
1991,65
1992,65
1993,68
1994,63
1995,55
1996,59
1997,61
1998,60
1999,52
2000,58
2001,55
2002,74
2003,83
2004,80
2005,112
2006,125
2007,124
2008,169
2009,225
2010,214
2011,239
2012,252
