year,Angelo (F),Angelo (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000036
1883,0.000000,0.000000
1884,0.000000,0.000041
1885,0.000000,0.000037
1886,0.000000,0.000051
1887,0.000000,0.000032
1888,0.000000,0.000030
1889,0.000000,0.000045
1890,0.000000,0.000040
1891,0.000000,0.000031
1892,0.000000,0.000039
1893,0.000000,0.000049
1894,0.000000,0.000056
1895,0.000000,0.000037
1896,0.000000,0.000036
1897,0.000000,0.000061
1898,0.000000,0.000055
1899,0.000000,0.000056
1900,0.000000,0.000060
1901,0.000000,0.000095
1902,0.000000,0.000093
1903,0.000000,0.000100
1904,0.000000,0.000102
1905,0.000000,0.000113
1906,0.000000,0.000131
1907,0.000000,0.000125
1908,0.000000,0.000168
1909,0.000000,0.000192
1910,0.000000,0.000229
1911,0.000000,0.000281
1912,0.000000,0.000389
1913,0.000000,0.000420
1914,0.000000,0.000454
1915,0.000004,0.000436
1916,0.000000,0.000447
1917,0.000003,0.000427
1918,0.000006,0.000397
1919,0.000004,0.000400
1920,0.000000,0.000407
1921,0.000003,0.000447
1922,0.000004,0.000427
1923,0.000003,0.000430
1924,0.000003,0.000403
1925,0.000002,0.000384
1926,0.000004,0.000367
1927,0.000004,0.000385
1928,0.000006,0.000358
1929,0.000004,0.000362
1930,0.000004,0.000328
1931,0.000000,0.000319
1932,0.000004,0.000287
1933,0.000004,0.000260
1934,0.000000,0.000238
1935,0.000003,0.000235
1936,0.000003,0.000195
1937,0.000000,0.000194
1938,0.000000,0.000170
1939,0.000000,0.000179
1940,0.000002,0.000171
1941,0.000000,0.000162
1942,0.000000,0.000159
1943,0.000000,0.000130
1944,0.000000,0.000124
1945,0.000002,0.000107
1946,0.000000,0.000111
1947,0.000000,0.000123
1948,0.000000,0.000124
1949,0.000000,0.000112
1950,0.000003,0.000125
1951,0.000000,0.000120
1952,0.000002,0.000131
1953,0.000000,0.000125
1954,0.000002,0.000144
1955,0.000002,0.000144
1956,0.000002,0.000157
1957,0.000003,0.000172
1958,0.000002,0.000151
1959,0.000004,0.000171
1960,0.000004,0.000159
1961,0.000004,0.000182
1962,0.000003,0.000177
1963,0.000004,0.000197
1964,0.000005,0.000178
1965,0.000007,0.000182
1966,0.000005,0.000173
1967,0.000006,0.000187
1968,0.000008,0.000154
1969,0.000007,0.000154
1970,0.000007,0.000164
1971,0.000008,0.000154
1972,0.000008,0.000170
1973,0.000008,0.000169
1974,0.000008,0.000181
1975,0.000007,0.000181
1976,0.000008,0.000182
1977,0.000005,0.000180
1978,0.000003,0.000168
1979,0.000004,0.000165
1980,0.000003,0.000175
1981,0.000003,0.000169
1982,0.000002,0.000173
1983,0.000005,0.000178
1984,0.000003,0.000164
1985,0.000005,0.000179
1986,0.000006,0.000158
1987,0.000002,0.000174
1988,0.000004,0.000176
1989,0.000004,0.000183
1990,0.000003,0.000187
1991,0.000002,0.000199
1992,0.000002,0.000198
1993,0.000001,0.000198
1994,0.000000,0.000192
1995,0.000000,0.000195
1996,0.000002,0.000213
1997,0.000000,0.000245
1998,0.000000,0.000257
1999,0.000002,0.000254
2000,0.000000,0.000262
2001,0.000000,0.000280
2002,0.000002,0.000291
2003,0.000002,0.000305
2004,0.000000,0.000318
2005,0.000000,0.000337
2006,0.000002,0.000332
2007,0.000000,0.000335
2008,0.000000,0.000306
2009,0.000001,0.000300
2010,0.000000,0.000313
2011,0.000002,0.000307
2012,0.000000,0.000292
2013,0.000000,0.000305
