year,Anthea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,10
1948,6
1949,0
1950,0
1951,0
1952,0
1953,8
1954,7
1955,6
1956,6
1957,0
1958,9
1959,13
1960,14
1961,11
1962,7
1963,9
1964,10
1965,9
1966,8
1967,14
1968,11
1969,13
1970,9
1971,12
1972,8
1973,16
1974,15
1975,13
1976,10
1977,18
1978,17
1979,13
1980,16
1981,18
1982,18
1983,17
1984,12
1985,12
1986,11
1987,5
1988,17
1989,12
1990,20
1991,11
1992,10
1993,11
1994,13
1995,10
1996,11
1997,9
1998,10
1999,8
2000,17
2001,11
2002,9
2003,11
2004,18
2005,12
2006,11
2007,9
2008,9
2009,8
2010,6
2011,8
2012,5
