year,Arlys
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,15
1919,0
1920,8
1921,13
1922,14
1923,12
1924,20
1925,13
1926,27
1927,27
1928,26
1929,31
1930,40
1931,32
1932,38
1933,44
1934,45
1935,34
1936,34
1937,38
1938,43
1939,36
1940,29
1941,40
1942,33
1943,25
1944,31
1945,14
1946,30
1947,30
1948,33
1949,36
1950,20
1951,33
1952,34
1953,14
1954,18
1955,15
1956,10
1957,13
1958,12
1959,5
1960,7
1961,6
1962,9
1963,5
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
