year,Anika
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,5
1966,0
1967,0
1968,5
1969,11
1970,16
1971,80
1972,161
1973,134
1974,158
1975,157
1976,147
1977,135
1978,120
1979,114
1980,95
1981,103
1982,89
1983,104
1984,78
1985,105
1986,100
1987,99
1988,84
1989,90
1990,106
1991,148
1992,199
1993,141
1994,152
1995,205
1996,251
1997,278
1998,299
1999,301
2000,402
2001,456
2002,538
2003,612
2004,614
2005,611
2006,641
2007,614
2008,534
2009,564
2010,540
2011,510
2012,500
