year,Armand (F),Armand (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000037
1884,0.000000,0.000025
1885,0.000000,0.000021
1886,0.000000,0.000027
1887,0.000000,0.000036
1888,0.000000,0.000020
1889,0.000000,0.000017
1890,0.000000,0.000020
1891,0.000000,0.000024
1892,0.000000,0.000021
1893,0.000000,0.000015
1894,0.000000,0.000015
1895,0.000000,0.000028
1896,0.000000,0.000028
1897,0.000000,0.000017
1898,0.000000,0.000016
1899,0.000000,0.000032
1900,0.000000,0.000036
1901,0.000000,0.000046
1902,0.000000,0.000052
1903,0.000000,0.000037
1904,0.000000,0.000022
1905,0.000000,0.000068
1906,0.000000,0.000065
1907,0.000000,0.000064
1908,0.000000,0.000070
1909,0.000000,0.000088
1910,0.000000,0.000064
1911,0.000000,0.000090
1912,0.000000,0.000131
1913,0.000000,0.000128
1914,0.000000,0.000145
1915,0.000000,0.000118
1916,0.000000,0.000124
1917,0.000000,0.000133
1918,0.000000,0.000162
1919,0.000000,0.000123
1920,0.000000,0.000144
1921,0.000003,0.000127
1922,0.000000,0.000134
1923,0.000000,0.000143
1924,0.000000,0.000134
1925,0.000000,0.000124
1926,0.000000,0.000108
1927,0.000000,0.000122
1928,0.000000,0.000132
1929,0.000000,0.000120
1930,0.000000,0.000109
1931,0.000000,0.000105
1932,0.000000,0.000099
1933,0.000000,0.000089
1934,0.000000,0.000096
1935,0.000000,0.000080
1936,0.000000,0.000101
1937,0.000000,0.000089
1938,0.000000,0.000074
1939,0.000000,0.000077
1940,0.000000,0.000063
1941,0.000000,0.000069
1942,0.000000,0.000065
1943,0.000000,0.000061
1944,0.000000,0.000058
1945,0.000000,0.000052
1946,0.000000,0.000049
1947,0.000000,0.000046
1948,0.000000,0.000050
1949,0.000000,0.000045
1950,0.000000,0.000048
1951,0.000000,0.000038
1952,0.000000,0.000037
1953,0.000000,0.000035
1954,0.000000,0.000035
1955,0.000000,0.000034
1956,0.000000,0.000037
1957,0.000000,0.000030
1958,0.000000,0.000029
1959,0.000000,0.000030
1960,0.000000,0.000024
1961,0.000000,0.000025
1962,0.000000,0.000025
1963,0.000000,0.000025
1964,0.000000,0.000024
1965,0.000000,0.000026
1966,0.000000,0.000023
1967,0.000000,0.000028
1968,0.000000,0.000023
1969,0.000000,0.000020
1970,0.000000,0.000026
1971,0.000000,0.000023
1972,0.000000,0.000019
1973,0.000000,0.000020
1974,0.000000,0.000023
1975,0.000000,0.000025
1976,0.000000,0.000022
1977,0.000000,0.000024
1978,0.000000,0.000022
1979,0.000000,0.000022
1980,0.000000,0.000017
1981,0.000000,0.000022
1982,0.000000,0.000018
1983,0.000000,0.000024
1984,0.000000,0.000027
1985,0.000000,0.000024
1986,0.000000,0.000024
1987,0.000000,0.000022
1988,0.000000,0.000028
1989,0.000000,0.000028
1990,0.000000,0.000027
1991,0.000000,0.000030
1992,0.000000,0.000031
1993,0.000000,0.000023
1994,0.000000,0.000027
1995,0.000000,0.000038
1996,0.000000,0.000037
1997,0.000000,0.000044
1998,0.000000,0.000036
1999,0.000000,0.000038
2000,0.000000,0.000030
2001,0.000000,0.000025
2002,0.000000,0.000025
2003,0.000000,0.000021
2004,0.000000,0.000021
2005,0.000000,0.000023
2006,0.000000,0.000017
2007,0.000000,0.000018
2008,0.000000,0.000020
2009,0.000000,0.000014
2010,0.000000,0.000012
2011,0.000000,0.000013
2012,0.000000,0.000015
