year,Alger
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,7
1889,6
1890,0
1891,6
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,11
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,6
1911,0
1912,6
1913,17
1914,16
1915,16
1916,29
1917,16
1918,21
1919,30
1920,18
1921,29
1922,22
1923,20
1924,23
1925,19
1926,29
1927,25
1928,19
1929,11
1930,16
1931,12
1932,20
1933,12
1934,10
1935,19
1936,11
1937,11
1938,10
1939,14
1940,8
1941,14
1942,12
1943,9
1944,7
1945,14
1946,12
1947,11
1948,9
1949,10
1950,9
1951,10
1952,15
1953,7
1954,9
1955,16
1956,6
1957,9
1958,7
1959,6
1960,6
1961,8
1962,6
1963,9
1964,6
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,9
1972,5
1973,0
1974,9
1975,0
1976,0
1977,7
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
