year,Apolinar
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,6
1917,0
1918,6
1919,0
1920,13
1921,12
1922,10
1923,16
1924,14
1925,15
1926,20
1927,32
1928,11
1929,17
1930,16
1931,12
1932,14
1933,8
1934,27
1935,19
1936,14
1937,11
1938,11
1939,0
1940,5
1941,13
1942,12
1943,10
1944,7
1945,9
1946,15
1947,17
1948,9
1949,12
1950,14
1951,21
1952,14
1953,16
1954,13
1955,10
1956,19
1957,7
1958,14
1959,8
1960,8
1961,18
1962,12
1963,10
1964,6
1965,10
1966,8
1967,6
1968,9
1969,9
1970,7
1971,6
1972,9
1973,14
1974,14
1975,13
1976,10
1977,10
1978,18
1979,18
1980,18
1981,28
1982,16
1983,17
1984,17
1985,20
1986,8
1987,11
1988,16
1989,16
1990,13
1991,16
1992,17
1993,11
1994,26
1995,21
1996,11
1997,11
1998,16
1999,17
2000,9
2001,25
2002,16
2003,5
2004,11
2005,14
2006,17
2007,21
2008,8
2009,9
2010,7
2011,12
2012,7
