year,Arlan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,9
1914,9
1915,11
1916,15
1917,9
1918,16
1919,13
1920,20
1921,27
1922,26
1923,23
1924,28
1925,25
1926,21
1927,33
1928,28
1929,33
1930,53
1931,48
1932,40
1933,62
1934,66
1935,58
1936,87
1937,56
1938,69
1939,65
1940,66
1941,69
1942,56
1943,61
1944,59
1945,65
1946,55
1947,58
1948,66
1949,51
1950,47
1951,53
1952,54
1953,38
1954,55
1955,50
1956,47
1957,52
1958,53
1959,67
1960,46
1961,42
1962,34
1963,29
1964,34
1965,31
1966,26
1967,27
1968,20
1969,20
1970,20
1971,26
1972,20
1973,18
1974,22
1975,13
1976,11
1977,11
1978,15
1979,13
1980,15
1981,16
1982,11
1983,10
1984,10
1985,9
1986,12
1987,14
1988,14
1989,11
1990,13
1991,13
1992,11
1993,12
1994,10
1995,0
1996,7
1997,13
1998,12
1999,8
2000,10
2001,7
2002,13
2003,11
2004,12
2005,15
2006,22
2007,16
2008,12
2009,15
2010,19
2011,22
2012,16
