year,Albin (F),Albin (M)
1880,0.000000,0.000030
1881,0.000000,0.000026
1882,0.000000,0.000050
1883,0.000000,0.000032
1884,0.000000,0.000053
1885,0.000000,0.000066
1886,0.000000,0.000047
1887,0.000000,0.000049
1888,0.000000,0.000060
1889,0.000000,0.000048
1890,0.000000,0.000076
1891,0.000000,0.000077
1892,0.000000,0.000042
1893,0.000000,0.000052
1894,0.000000,0.000047
1895,0.000000,0.000040
1896,0.000000,0.000050
1897,0.000000,0.000049
1898,0.000000,0.000031
1899,0.000000,0.000041
1900,0.000000,0.000038
1901,0.000000,0.000026
1902,0.000000,0.000034
1903,0.000000,0.000031
1904,0.000000,0.000055
1905,0.000000,0.000028
1906,0.000000,0.000040
1907,0.000000,0.000028
1908,0.000000,0.000027
1909,0.000000,0.000033
1910,0.000000,0.000030
1911,0.000000,0.000036
1912,0.000000,0.000059
1913,0.000000,0.000049
1914,0.000000,0.000056
1915,0.000000,0.000076
1916,0.000000,0.000066
1917,0.000000,0.000069
1918,0.000000,0.000061
1919,0.000000,0.000074
1920,0.000000,0.000059
1921,0.000000,0.000059
1922,0.000000,0.000054
1923,0.000000,0.000058
1924,0.000000,0.000055
1925,0.000000,0.000049
1926,0.000000,0.000049
1927,0.000000,0.000040
1928,0.000000,0.000037
1929,0.000000,0.000033
1930,0.000000,0.000030
1931,0.000000,0.000032
1932,0.000000,0.000032
1933,0.000000,0.000020
1934,0.000000,0.000023
1935,0.000000,0.000018
1936,0.000000,0.000023
1937,0.000000,0.000018
1938,0.000000,0.000021
1939,0.000000,0.000019
1940,0.000000,0.000018
1941,0.000000,0.000015
1942,0.000000,0.000018
1943,0.000000,0.000021
1944,0.000000,0.000011
1945,0.000000,0.000015
1946,0.000000,0.000010
1947,0.000000,0.000011
1948,0.000000,0.000010
1949,0.000000,0.000008
1950,0.000000,0.000008
1951,0.000000,0.000008
1952,0.000000,0.000007
1953,0.000000,0.000009
1954,0.000000,0.000005
1955,0.000000,0.000005
1956,0.000000,0.000006
1957,0.000000,0.000006
1958,0.000000,0.000008
1959,0.000000,0.000004
1960,0.000000,0.000005
1961,0.000000,0.000005
1962,0.000000,0.000005
1963,0.000000,0.000004
1964,0.000000,0.000006
1965,0.000000,0.000003
1966,0.000000,0.000004
1967,0.000000,0.000004
1968,0.000000,0.000003
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000006
1972,0.000000,0.000003
1973,0.000000,0.000003
1974,0.000000,0.000004
1975,0.000000,0.000002
1976,0.000000,0.000003
1977,0.000000,0.000002
1978,0.000000,0.000002
1979,0.000000,0.000004
1980,0.000000,0.000002
1981,0.000000,0.000002
1982,0.000000,0.000003
1983,0.000000,0.000003
1984,0.000000,0.000002
1985,0.000000,0.000002
1986,0.000000,0.000002
1987,0.000000,0.000000
1988,0.000000,0.000001
1989,0.000000,0.000003
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000004
1994,0.000000,0.000003
1995,0.000000,0.000002
1996,0.000000,0.000002
1997,0.000000,0.000002
1998,0.000000,0.000004
1999,0.000000,0.000002
2000,0.000000,0.000004
2001,0.000000,0.000003
2002,0.000000,0.000005
2003,0.000000,0.000006
2004,0.000000,0.000004
2005,0.000000,0.000004
2006,0.000000,0.000004
2007,0.000000,0.000008
2008,0.000000,0.000005
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000004
2012,0.000000,0.000005
2013,0.000000,0.000002
2014,0.000000,0.000003
2015,0.000000,0.000005
2016,0.000000,0.000002
2017,0.000000,0.000004
2018,0.000000,0.000004
2019,0.000000,0.000003
2020,0.000000,0.000004
