year,Avrohom
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,8
1956,0
1957,6
1958,0
1959,7
1960,9
1961,9
1962,9
1963,5
1964,0
1965,6
1966,5
1967,10
1968,0
1969,12
1970,10
1971,12
1972,14
1973,19
1974,15
1975,19
1976,25
1977,20
1978,29
1979,29
1980,20
1981,28
1982,41
1983,27
1984,33
1985,33
1986,41
1987,43
1988,39
1989,32
1990,39
1991,47
1992,56
1993,40
1994,44
1995,32
1996,45
1997,44
1998,63
1999,64
2000,73
2001,75
2002,78
2003,92
2004,77
2005,79
2006,94
2007,80
2008,96
2009,109
2010,82
2011,98
2012,92
