year,Antonios
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,0
1959,5
1960,0
1961,0
1962,0
1963,6
1964,6
1965,5
1966,0
1967,8
1968,0
1969,0
1970,15
1971,13
1972,23
1973,17
1974,21
1975,24
1976,10
1977,25
1978,19
1979,20
1980,20
1981,20
1982,21
1983,18
1984,12
1985,17
1986,15
1987,11
1988,14
1989,12
1990,28
1991,8
1992,12
1993,15
1994,13
1995,20
1996,10
1997,14
1998,11
1999,13
2000,8
2001,11
2002,13
2003,15
2004,23
2005,15
2006,15
2007,18
2008,14
2009,17
2010,11
2011,13
2012,15
