year,Andre (F),Andre (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000015
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000020
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000021
1908,0.000000,0.000000
1909,0.000000,0.000018
1910,0.000000,0.000014
1911,0.000000,0.000016
1912,0.000000,0.000012
1913,0.000000,0.000016
1914,0.000000,0.000018
1915,0.000000,0.000019
1916,0.000003,0.000013
1917,0.000000,0.000013
1918,0.000000,0.000012
1919,0.000004,0.000017
1920,0.000004,0.000017
1921,0.000000,0.000020
1922,0.000000,0.000019
1923,0.000000,0.000021
1924,0.000000,0.000022
1925,0.000003,0.000024
1926,0.000000,0.000025
1927,0.000000,0.000032
1928,0.000004,0.000031
1929,0.000000,0.000036
1930,0.000000,0.000033
1931,0.000000,0.000039
1932,0.000002,0.000033
1933,0.000000,0.000039
1934,0.000002,0.000038
1935,0.000000,0.000037
1936,0.000005,0.000037
1937,0.000004,0.000054
1938,0.000003,0.000050
1939,0.000002,0.000042
1940,0.000003,0.000050
1941,0.000005,0.000056
1942,0.000003,0.000050
1943,0.000005,0.000046
1944,0.000005,0.000051
1945,0.000003,0.000059
1946,0.000005,0.000052
1947,0.000007,0.000061
1948,0.000005,0.000074
1949,0.000005,0.000072
1950,0.000003,0.000084
1951,0.000004,0.000103
1952,0.000006,0.000110
1953,0.000006,0.000162
1954,0.000005,0.000178
1955,0.000008,0.000171
1956,0.000006,0.000204
1957,0.000007,0.000251
1958,0.000008,0.000271
1959,0.000007,0.000307
1960,0.000008,0.000337
1961,0.000009,0.000362
1962,0.000009,0.000397
1963,0.000008,0.000430
1964,0.000011,0.000487
1965,0.000015,0.000498
1966,0.000019,0.000583
1967,0.000013,0.000634
1968,0.000016,0.000582
1969,0.000018,0.000593
1970,0.000017,0.000696
1971,0.000016,0.000704
1972,0.000017,0.000686
1973,0.000024,0.000649
1974,0.000015,0.000657
1975,0.000023,0.000697
1976,0.000011,0.000697
1977,0.000020,0.000620
1978,0.000015,0.000641
1979,0.000017,0.000566
1980,0.000011,0.000605
1981,0.000016,0.000594
1982,0.000013,0.000627
1983,0.000013,0.000603
1984,0.000014,0.000663
1985,0.000013,0.000642
1986,0.000015,0.000577
1987,0.000011,0.000581
1988,0.000012,0.000583
1989,0.000009,0.000592
1990,0.000005,0.000581
1991,0.000008,0.000586
1992,0.000007,0.000622
1993,0.000008,0.000605
1994,0.000006,0.000640
1995,0.000004,0.000586
1996,0.000004,0.000539
1997,0.000004,0.000497
1998,0.000005,0.000480
1999,0.000003,0.000482
2000,0.000003,0.000475
2001,0.000002,0.000465
2002,0.000003,0.000454
2003,0.000002,0.000461
2004,0.000002,0.000502
2005,0.000003,0.000475
2006,0.000001,0.000473
2007,0.000002,0.000458
2008,0.000000,0.000434
2009,0.000000,0.000431
2010,0.000000,0.000417
2011,0.000000,0.000409
2012,0.000000,0.000399
2013,0.000000,0.000362
2014,0.000000,0.000345
2015,0.000000,0.000358
2016,0.000001,0.000381
2017,0.000000,0.000384
2018,0.000002,0.000367
2019,0.000000,0.000340
2020,0.000000,0.000356
