year,Aracelis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,8
1956,7
1957,12
1958,19
1959,14
1960,31
1961,20
1962,14
1963,19
1964,18
1965,17
1966,20
1967,14
1968,17
1969,16
1970,27
1971,34
1972,17
1973,23
1974,22
1975,21
1976,11
1977,20
1978,27
1979,18
1980,35
1981,33
1982,15
1983,24
1984,19
1985,17
1986,19
1987,20
1988,13
1989,12
1990,14
1991,27
1992,21
1993,17
1994,10
1995,13
1996,11
1997,12
1998,20
1999,15
2000,10
2001,27
2002,13
2003,14
2004,19
2005,18
2006,12
2007,21
2008,16
2009,11
2010,9
2011,11
2012,6
